## Ideogram.js gene cache for Danio rerio
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/danio_rerio/Danio_rerio.GRCz11.102.chr.gtf.gz
## prefix: ENSDARG
# chr	start	length	slim_id	symbol
4	17308	903	102141	ptpn12
4	31259	14383	102123	phtf2
4	38344	7052	114503	phtf2
4	48519	4851	115971	CU856344.1
4	57034	7669	98311	si:zfos-932h1.3
4	69619	2392	104839	mansc1
4	90048	9959	100143	lrp6
4	107287	12402	102474	dusp16
4	121709	3693	104049	crebl2
4	128697	4795	102226	gpr19
4	134412	14922	103095	tbk1
4	151506	27004	102128	eps8a
4	184863	8899	110470	ptpro
4	190547	21167	100422	ptpro
4	233812	6925	104632	RERG
4	269443	7638	100660	si:ch73-252i11.1
4	279669	3191	113107	CABZ01085275.1
4	286425	1000	99787	echdc3
4	288633	3398	112451	FO834823.1
4	306036	1970	70546	msgn1
4	308688	9283	45914	si:ch211-51e12.7
4	325028	5720	45913	mrps10
4	331351	22573	45911	tulp4a
4	357810	28358	45910	tmem181
4	386435	4007	45909	dynlt1
4	391297	7154	25073	rpl18a
4	393766	136	84828	BX890562.1
4	400376	1474	95951	BX890562.3
4	402626	97320	93924	BX890562.2
4	419659	115	108269	BX890562.4
4	554267	117	84451	AL845512.1
4	612363	14187	31737	pthlha
4	646154	29273	99652	xpot
4	676710	8723	101047	rtcb
4	681501	1964	102104	CU855889.1
4	686157	14540	99833	fbxo7
4	701612	32735	103870	CU855889.2
4	736395	1125	96118	ost4
4	737539	23021	45900	agbl5
4	764100	15696	16968	tmem214
4	783644	14214	102878	mapre3b
4	798696	17175	59311	dpysl5b
4	818928	39506	17386	sobpb
4	842010	3023	45898	si:ch211-152c2.3
4	861444	28776	6060	crybg1b
4	892959	35253	113105	BX649468.1
4	905483	3338	103050	mrap2b
4	912563	2175	70535	ripply2
4	929557	19285	13789	sim1b
4	958051	7216	63686	atp23
4	966061	17181	87962	rpap3
4	982028	10120	99313	naga
4	1014548	1348	103102	FAM180A
4	1054708	13447	104018	mtpn
4	1103158	44497	102157	si:ch211-117i20.2
4	1146346	138326	98612	chrm2a
4	1191527	117	100898	CR548631.1
4	1301436	59059	102340	ptn
4	1388965	14112	111388	CABZ01068469.1
4	1461079	5316	25601	trim35-14
4	1469106	28278	63672	zmp:0000000711
4	1516716	49856	18149	slc38a4
4	1576889	16238	95920	AL929171.1
4	1600034	17863	45886	slc38a2
4	1619584	23517	45885	scaf11
4	1647098	37249	7413	arid2
4	1685021	324	97341	CR847994.1
4	1689312	31336	45880	gas2l3
4	1722899	8021	9657	fgfr1op2
4	1732825	24635	93658	tm7sf3
4	1757462	2093	26839	med21
4	1761029	10279	16979	pmpcb
4	1766333	18787	70477	dnajc2
4	1788748	12871	45878	nudt4b
4	1809562	8753	45877	ube2nb
4	1821637	3199	79391	mrpl42
4	1825839	13513	15921	pwp1
4	1844336	820	99520	CU571163.1
4	1878573	35655	61544	ano6
4	1921011	9013	20812	si:ch73-177h5.2
4	1937522	6064	94007	CU467633.3
4	1950849	647	93685	CU467633.2
4	1958240	16654	59196	CU467633.1
4	1988460	48160	9262	FAR2
4	2041067	18235	18618	cpsf6
4	2059692	2743	45874	yeats4
4	2060524	136404	57468	kcnc2
4	2092683	6898	45873	frs2a
4	2210317	9388	79143	si:ch73-278m9.1
4	2228754	21510	57714	cmah
4	2252123	6673	45224	glipr1a
4	2258935	6336	11246	krr1
4	2267641	22627	53709	si:ch73-89b15.3
4	2349335	1036	99129	phlda1
4	2354892	25281	101813	nap1l1
4	2396024	44151	39724	OSBPL8
4	2482046	26531	70441	zdhhc17
4	2511629	14305	11961	csrp2
4	2530841	14504	8986	e2f7
4	2548783	88927	8235	cog5
4	2581916	115	107595	BX072538.1
4	2619132	4355	4592	gpr22a
4	2637947	4588	6567	dus4l
4	2655358	10952	16231	bcap29
4	2674898	52675	16749	slco1c1
4	2752852	115260	4227	pde3a
4	2923199	22107	6038	aebp2
4	2948063	197296	45870	plekha5
4	3287819	2626	98551	CABZ01085700.1
4	3312852	26088	60248	fgd4b
4	3343171	10424	17757	pik3cg
4	3358383	27069	30598	nampta
4	3389866	8519	77356	sypl1
4	3396322	8728	97907	CU928083.1
4	3438510	8248	89860	atxn7l1
4	3446011	10091	97073	CU928073.1
4	3455146	20251	39843	znf800b
4	3478049	267044	77654	grm8a
4	3792950	13042	112842	si:dkey-61f9.1
4	3806258	4759	70414	si:dkey-61f9.1
4	3980247	18243	33296	gpr37b
4	4079418	32349	6283	waslb
4	4115778	3647	45864	lmod2b
4	4120570	8617	45863	asb15b
4	4166344	1145	93470	CT009596.1
4	4224406	4276	105162	CR293509.1
4	4232562	713	107526	smkr1
4	4234994	26679	16691	cd9b
4	4267451	91489	101363	ano2b
4	4321168	53536	95042	CU468826.1
4	4376498	10510	100963	CU468826.2
4	4376498	10514	115613	CU468826.3
4	4397503	34472	59043	ntf3
4	4484651	23110	75281	tbc1d30
4	4509996	14288	23766	gnsa
4	4514438	2070	97286	FP102892.1
4	4526248	8941	39356	zgc:194209
4	4540223	52064	59064	rassf3
4	4585101	783	99725	FP236161.1
4	4601815	10301	90401	CABZ01020840.1
4	4626794	80099	63578	DGKI
4	4690726	115	106466	CABZ01020834.1
4	4712410	39573	63563	creb3l2
4	4752622	3727	39350	ssbp1
4	4758001	22666	73963	si:ch211-258f14.2
4	4782721	12484	69607	zgc:162331
4	4803698	28451	59053	slc13a4
4	4832144	2473	92677	coa6
4	4834085	91976	20871	ptprz1b
4	4930406	2213	39346	ndufa5
4	4938873	1854	101565	CU468917.1
4	4963892	2654	97044	CU468915.1
4	4971042	48071	59003	strip2
4	5025625	66710	39343	ahcyl2b
4	5094007	14934	39340	tmem209
4	5132951	17396	70408	ccnd2b
4	5156117	5760	45858	tigarb
4	5180650	2687	45856	fgf6b
4	5193198	1829	45854	fgf23
4	5196469	6874	45853	rad51ap1
4	5205265	8160	45851	galnt8b.1
4	5215950	7220	95324	galnt8b.2
4	5225552	14576	15623	ada2b
