## Ideogram.js gene cache for Felis catus
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/felis_catus/Felis_catus.Felis_catus_9.0.102.chr.gtf.gz
## prefix: ENSFCAG
# chr	start	length	slim_id	symbol
A1	90162	11865	11704	PGLYRP4
A1	156976	4145	40480	CCDC115
A1	160505	5113	31008	IMP4
A1	384106	29666	6891	ATP12A
A1	436538	128302	4914	RNF17
A1	567169	49505	4916	CENPJ
A1	640579	110986	31561	PARP4
A1	757084	51454	2362	MPHOSPH8
A1	814478	147553	27841	PSPC1
A1	939268	22753	27258	ZMYM5
A1	1043540	101422	30408	ZMYM2
A1	1196832	1355	6959	GJA3
A1	1246106	680	41697	GJB2
A1	1279431	785	21967	GJB6
A1	1353745	106	46467	U6
A1	1462817	128638	7299	CRYL1
A1	1621506	131724	852	IFT88
A1	1631435	113	47088	U2
A1	1762974	18096	39364	IL17D
A1	1786640	11361	45168	EEF1AKMT1
A1	1820731	111411	855	XPO4
A1	1989624	74331	11119	LATS2
A1	2131941	24767	38776	SAP18
A1	2161829	21959	27742	SKA3
A1	2182771	1212	24896	MRPL57
A1	2204691	73465	9375	ZDHHC20
A1	2298141	147552	5990	MICU2
A1	2510132	32102	30874	FGF9
A1	2925958	106	40809	U6
A1	3844354	130516	33144	SGCG
A1	3980459	86109	28276	SACS
A1	4199017	90910	9834	TNFRSF19
A1	4295420	197128	9835	MIPEP
A1	4967932	2168	46446	AMER2
A1	5041927	38064	29234	MTMR6
A1	5093791	48788	1580	NUP58
A1	5168449	595869	1581	ATP8A2
A1	5783563	4548	43175	SHISA2
A1	6084642	8911	11691	RNF6
A1	6114761	113448	27073	CDK8
A1	6381224	106	42353	U6
A1	6405483	75661	9474	WASF3
A1	6540919	1004	14524	GPR12
A1	6774273	141201	26620	USP12
A1	6965763	2264	6750	RPL21
A1	6976908	2960	6749	RASL11A
A1	7100015	12664	6982	GTF3A
A1	7112722	7731	6985	MTIF3
A1	7178138	109908	11821	LNX2
A1	7234417	144	50657	U2
A1	7418239	115	49001	U3
A1	7445463	1272	26793	GSX1
A1	7559205	5760	34557	PDX1
A1	7597975	5506	26699	CDX2
A1	7630281	76560	4539	FLT3
A1	7754292	134712	18643	PAN3
A1	7896584	175416	13299	FLT1
A1	8216469	15832	8235	POMP
A1	8242508	19292	8236	SLC46A3
A1	8346818	601444	14322	MTUS2
A1	8922093	79662	14326	SLC7A1
A1	9120519	66379	27217	UBL3
