2,113587336,7020,IL1B,2050,,113594356
6,31543343,2769,TNF,4431,,31546112
12,125396190,3397,UBC,3444,,125399587
19,45409005,3647,APOE,3418,,45412652
7,55086724,188307,EGFR,3408,,55275031
6,43737945,16278,VEGFA,3144,,43754223
7,22766760,4861,IL6,3118,,22771621
19,41836227,23561,TGFB1,2860,,41859788
1,11845786,20374,MTHFR,2784,,11866160
6,152128813,295595,ESR1,2356,,152424408
6,32546546,11067,HLA-DRB1,2336,,32557613
4,103422485,115974,NFKB1,2242,,103538459
1,206940947,4892,IL10,2201,,206945839
17,61554421,21320,ACE,2137,,61575741
17,41196311,81189,BRCA1,2085,,41277500
2,113587336,7020,IL1B,2050,,113594356
14,105235686,26394,AKT1,2017,,105262080
21,27252860,290278,APP,1965,,27543138
14,62164339,50638,HIF1A,1917,,62214977
20,44637546,7654,MMP9,1889,,44645200
1,110230417,5950,GSTM1,1829,,110236367
12,6898637,31339,CD4,1806,,6929976
17,37844336,40579,ERBB2,1779,,37884915
1,186640943,8616,PTGS2,1765,,186649559
17,28521336,41650,SLC6A4,1738,,28562986
6,31321642,3380,HLA-B,1699,,31325022
9,21967750,7382,CDKN2A,1690,,21975132
X,66763873,186588,AR,1656,,66950461
3,41240941,40998,CTNNB1,1622,,41281939
7,87133178,209461,ABCB1,1612,,87342639
4,74606222,3211,CXCL8,1605,,74609433
3,12329348,146507,PPARG,1585,,12475855
7,150688143,23544,NOS3,1572,,150711687
22,22113946,108024,MAPK1,1557,,22221970
3,186560462,15790,ADIPOQ,1549,,186576252
9,120466452,13317,TLR4,1547,,120479769
17,40465342,75171,STAT3,1481,,40540513
12,68548549,4972,IFNG,1435,,68553521
1,159682078,2301,CRP,1415,,159684379
18,60790578,196035,BCL2,1384,,60986613
22,19929262,28236,COMT,1364,,19957498
12,48235319,63495,VDR,1358,,48298814
2,136871918,1895,CXCR4,1349,,136873813
10,89623194,108493,PTEN,1322,,89731687
6,32627240,7226,HLA-DQB1,1318,,32634466
3,46411632,6065,CCR5,1317,,46417697
16,68771192,98253,CDH1,1316,,68869445
12,25357722,46143,KRAS,1316,,25403865
12,102789644,84779,IGF1,1294,,102874423
6,29910246,3415,HLA-A,1287,,29913661
13,32889616,84193,BRCA2,1263,,32973809
11,67351065,3059,GSTP1,1260,,67354124
11,27676441,65885,BDNF,1244,,27742326
7,117120016,188702,CFTR,1239,,117308718
16,55515468,25135,MMP2,1220,,55540603
12,69202796,36528,MDM2,1215,,69239324
11,46740715,20343,F2,1209,,46761058
6,36646455,8661,CDKN1A,1208,,36655116
8,128748314,5366,MYC,1185,,128753680
7,140433812,190752,BRAF,1175,,140624564
1,169481191,74578,F5,1162,,169555769
7,127881330,16352,LEP,1147,,127897682
11,69455872,13370,CCND1,1128,,69469242
17,43971747,133952,MAPT,1111,,44105699
4,90645249,113101,SNCA,1104,,90758350
9,4985244,142939,JAK2,1089,,5128183
7,100770369,12178,SERPINE1,1085,,100782547
16,30128157,6473,MAPK3,1075,,30134630
5,1253286,41876,TERT,1056,,1295162
20,35973087,60748,SRC,1034,,36033835
6,35995453,83560,MAPK14,1033,,36079013
17,32582295,1925,CCL2,1011,,32584220
1,11166587,156021,MTOR,994,,11322608
4,154605403,22009,TLR2,993,,154627412
10,90750315,26503,FAS,985,,90776818
11,65421066,9377,RELA,978,,65430443
10,33189245,58048,ITGB1,942,,33247293
4,185548849,21780,CASP3,927,,185570629
19,10381516,15775,ICAM1,926,,10397291
5,132009677,8693,IL4,925,,132018370
19,44047463,32267,XRCC1,918,,44079730
1,59246462,3323,JUN,911,,59249785
11,108093558,146268,ATM,910,,108239826
11,113280316,65685,DRD2,905,,113346001
13,48877882,178144,RB1,903,,49056026
17,45331207,58870,ITGB3,900,,45390077
10,44865600,14945,CXCL12,900,,44880545
17,76210276,11440,BIRC5,892,,76221716
1,230838271,12065,AGT,889,,230850336
15,75011882,6069,CYP1A1,889,,75017951
14,64693750,67378,ESR2,882,,64761128
7,94927668,26216,PON1,863,,94953884
2,113875469,16124,IL1RN,858,,113891593
21,33031934,9309,SOD1,858,,33041243
2,204732510,6173,CTLA4,855,,204738683
5,148206155,2042,ADRB2,852,,148208197
12,53773978,36248,SP1,838,,53810226
22,42522500,4383,CYP2D6,830,,42526883
22,41488613,87468,EP300,825,,41576081
3,119540801,272463,GSK3B,823,,119813264
6,31236525,3388,HLA-C,822,,31239913
3,178866310,91571,PIK3CA,818,,178957881
5,142657495,125759,NR3C1,816,,142783254
6,26087508,7961,HFE,813,,26095469
1,32757707,41517,HDAC1,806,,32799224
2,113531491,11484,IL1A,779,,113542975
19,49458116,6403,BAX,778,,49464519
7,6414125,29473,RAC1,777,,6443598
4,55524094,82787,KIT,775,,55606881
12,12870203,5113,CDKN1B,769,,12875316
3,37034840,57497,MLH1,764,,37092337
11,35160416,93533,CD44,759,,35253949
10,49514681,132721,MAPK8,759,,49647402
3,148415657,45133,AGTR1,748,,148460790
16,50731049,35939,NOD2,744,,50766988
14,102547074,59012,HSP90AA1,742,,102606086
9,139388884,51354,NOTCH1,737,,139440238
11,112013973,20867,IL18,736,,112034840
10,96698414,50734,CYP2C9,734,,96749148
11,116706466,2200,APOA1,733,,116708666
11,102660640,8326,MMP1,728,,102668966
6,32605182,6247,HLA-DQA1,715,,32611429
1,11917520,1472,NPPB,710,,11918992
10,96522437,90525,CYP2C19,697,,96612962
22,35777059,13148,HMOX1,695,,35790207
1,226548391,47410,PARP1,693,,226595801
15,99191767,315992,IGF1R,693,,99507759
17,64298925,507937,PRKCA,690,,64806862
12,6058039,175802,VWF,680,,6233841
3,49396568,52962,RHOA,675,,49449530
19,45854648,19197,ERCC2,675,,45873845
3,10327433,7198,GHRL,673,,10334631
4,88896801,7762,SPP1,665,,88904563
7,116312443,125997,MET,664,,116438440
4,123372625,5025,IL2,659,,123377650
2,202098165,54269,CASP8,656,,202152434
16,3775055,155066,CREBBP,656,,3930121
10,43572516,50436,RET,652,,43622952
4,55944425,47337,KDR,651,,55991762
6,52051184,4252,IL17A,648,,52055436
