# Derived from Mus_musculus.GRCm38.102.chr.gtf.gz in http://ftp.ensembl.org/pub/release-102/gtf/mus_musculus/
# Chromosome	Start	End	Ensembl ID	Name
1	3073253	3074322	00000102693	4933401J01Rik
1	3205901	3671498	00000051951	Xkr4
1	3252757	3253236	00000102851	Gm18956
1	3365731	3368549	00000103377	Gm37180
1	3375556	3377788	00000104017	Gm37363
1	3464977	3467285	00000103025	Gm37686
1	3466587	3513553	00000089699	Gm1992
1	3512451	3514507	00000103201	Gm37329
1	3531795	3532720	00000103147	Gm7341
1	3592892	3595903	00000103161	Gm38148
1	3647309	3658904	00000102331	Gm19938
1	3680155	3681788	00000102348	Gm10568
1	3752010	3754360	00000102592	Gm38385
1	3905739	3986215	00000102343	Gm37381
1	3999557	4409241	00000025900	Rp1
1	4256234	4260519	00000102948	Gm6101
1	4363346	4364829	00000104123	Gm37483
1	4490931	4497354	00000025902	Sox17
1	4496551	4499558	00000104238	Gm37587
1	4522905	4526737	00000102269	Gm7357
1	4534837	4535286	00000103003	Gm38076
1	4583129	4586252	00000104328	Gm37323
1	4610471	4611406	00000102735	Gm7369
1	4687934	4689403	00000098104	Gm6085
1	4692219	4693424	00000102175	Gm6119
1	4735046	4735676	00000103265	Gm2053
1	4771131	4772199	00000103922	Gm6123
1	4773206	4785739	00000033845	Mrpl15
1	4778063	4779212	00000102275	Gm37144
1	4807788	4848410	00000025903	Lypla1
1	4807892	4886770	00000104217	Gm37988
1	4857814	4897909	00000033813	Tcea1
1	4880049	4880651	00000062588	Gm6104
1	4905751	4906861	00000103280	Gm37277
1	4909576	5070285	00000002459	Rgs20
1	4927028	4927299	00000091305	Gm17100
1	4938576	4940710	00000102653	Gm37079
1	4970857	4976820	00000085623	Gm16041
1	5063060	5064647	00000091665	Gm17101
1	5070018	5162529	00000033793	Atp6v1h
1	5276106	5277337	00000104352	Gm7182
1	5307739	5310017	00000104046	Gm37567
1	5403547	5405578	00000102907	Gm38264
1	5588466	5606131	00000025905	Oprk1
1	5617837	5618230	00000103936	Gm36965
1	5842874	5844672	00000103519	Gm37429
1	5913707	5917398	00000033774	Npbwr1
1	6048963	6050045	00000103090	Gm19214
1	6206197	6276648	00000025907	Rb1cc1
1	6209866	6215293	00000090031	4732440D04Rik
1	6359218	6394731	00000087247	Alkal1
1	6380394	6381032	00000103355	Gm2147
1	6382634	6383106	00000102706	Gm7417
1	6429655	6441296	00000103845	Gm19026
1	6487231	6860940	00000033740	St18
1	6861237	6864151	00000103329	Gm42492
1	6910560	6911222	00000104385	Gm7449
1	6916559	6923588	00000102135	Gm37108
1	6929759	6929788	00000103282	Gm37275
1	6998217	6998541	00000102534	Gm37225
1	7013762	7013920	00000102213	Gm37489
1	7035915	7037217	00000103629	Gm5694
1	7088920	7173628	00000051285	Pcmtd1
1	7136199	7136586	00000098201	Gm26983
1	7148110	7152137	00000103509	Gm38372
1	7177739	7179037	00000048538	Gm9826
1	7189742	7189919	00000103709	Nras-ps2
1	7315451	7316462	00000102768	Gm19002
1	7349406	7397869	00000097797	Gm26901
1	7410679	7411993	00000103498	Gm18984
