## Ideogram.js gene cache for Equus caballus
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/equus_caballus/Equus_caballus.EquCab3.0.102.chr.gtf.gz
## prefix: ENSECAG
# chr	start	length	slim_id	symbol
1	6434	9282	12421	SYCE1
1	131451	11746	19088	CYP2E1
1	347592	10898	9951	SCART1
1	384023	13768	14887	MTG1
1	400107	9647	101	PAOX
1	414633	7298	12703	ECHS1
1	423593	5141	31485	FUOM
1	451327	7467	36610	CALY
1	530703	27802	18844	TUBGCP2
1	599052	4257	35387	VENTX
1	618194	65866	20221	KNDC1
1	698578	38156	65	ADGRA1
1	920297	132374	6777	CFAP46
1	1070190	1541	29054	NKX6-2
1	1074675	238087	15981	INPP5A
1	1384173	68241	2362	PWWP2B
1	1466174	40858	671	LRRC27
1	1536066	100693	9210	STK32C
1	1638645	17457	17084	DPYSL4
1	1677378	57664	15234	JAKMIP3
1	1830388	13588	17458	BNIP3
1	1844573	58690	24456	PPP2R2D
1	2422145	223733	24936	TCERG1L
1	3451270	32082	306	GLRX3
1	3500459	37247	38771	C10orf143
1	3605200	126385	34734	EBF3
1	3803758	300954	26858	MGMT
1	5375859	170272	8876	PTPRE
1	5553254	12699	23786	CLRN3
1	5658246	3396	29047	FOXI2
1	5804474	15091	34244	NPS
1	5899751	502556	23813	DOCK1
1	6154951	43385	5053	INSYN2A
1	6581296	214491	10056	C1H10orf90
1	6829156	426889	12744	ADAM12
1	7240490	111237	6524	FANK1
1	7364544	37694	14298	DHX32
1	7402325	14770	12266	BCCIP
1	7426161	29562	17285	UROS
1	7448993	120	31559	eca-mir-9043
1	7468632	7143	156	MMP21
1	7478203	48632	346	EDRF1
1	7566766	11141	20373	TEX36
1	7701013	103	26625	U6
1	8006713	164373	22504	CTBP2
1	8174724	41918	17587	ZRANB1
1	8305289	24555	23340	ABRAXAS2
1	8353660	133823	35894	FAM53B
1	8493158	138242	37483	LHPP
1	8644340	2484	39629	NKX1-2
1	8666776	142754	14873	OAT
1	8975262	73429	22078	CHST15
1	9131593	129574	24631	CPXM2
1	9316789	23251	8245	GPR26
1	9783843	11370	10047	BUB3
1	9799383	2564	12690	HMX2
1	9811090	3195	37274	HMX3
1	9947363	16626	6987	IKZF5
1	9967247	18290	11238	PSTK
1	10106798	11559	14944	CUZD1
1	10233024	34568	2143	C1H10orf120
1	10553201	51617	9990	HTRA1
1	10615627	54119	14908	PLEKHA1
1	10719164	44851	8814	BTBD16
1	10773522	189371	18280	TACC2
1	11008097	13593	16651	NSMCE4A
1	11048111	188407	12383	ATE1
1	11323858	128901	13960	FGFR2
1	11923467	56738	19673	WDR11
1	11934301	101	26439	U6
1	12168810	125550	23526	PLPP4
1	12733569	42825	536	SEC23IP
1	12790352	42915	15061	MCMBP
1	12836643	82960	14941	INPP5F
1	12877327	70	25242	eca-mir-1244
1	12965352	23945	5267	BAG3
1	13028730	20524	9970	TIAL1
1	13071852	36057	23632	RGS10
1	13138829	231914	23764	GRK5
1	13392201	8346	17026	PRDX3
1	13403903	22568	12309	SFXN4
1	13429530	28352	13713	DENND10
1	13474273	32411	21880	EIF3A
1	13511606	869	3656	NANOS1
1	13708981	62091	13139	CACUL1
1	13852287	1112	3701	PRLHR
1	14085426	32446	19024	FAM204A
1	14362291	38706	19791	RAB11FIP2
1	14807149	6211	31152	EMX2
1	14961241	85119	23468	PDZD8
1	15049055	36791	24054	SLC18A2
1	15110433	14827	37881	KCNK18
1	15171774	6256	23955	VAX1
1	15290929	95090	7373	SHTN1
1	15387043	28206	13196	ENO4
1	15414784	165790	16231	HSPA12A
1	15586019	5060	731	C1H10orf82
1	15601507	19570	8197	PNLIPRP2
1	15630051	14588	16567	PNLIPRP1
1	15653378	16852	9446	PNLIP
1	15721019	34454	24805	PNLIPRP3
1	15804320	63086	24829	CCDC172
1	15911718	212977	6846	GFRA1
1	16232782	736266	9515	ATRNL1
1	17068785	32850	7177	TRUB1
1	17164287	31802	11276	FAM160B1
1	17246345	286191	24113	ABLIM1
1	17562258	104375	14979	AFAP1L2
1	17661898	45834	417	VWA2
1	17716025	39546	9748	TDRD1
1	17771935	44785	10482	CCDC186
1	17881762	1403	36130	ADRB1
1	18020093	52738	18648	NHLRC2
1	18073632	19833	10731	DCLRE1A
1	18130201	25399	15436	PLEKHS1
1	18176972	25074	16034	CASP7
1	18216937	69608	21326	NRAP
1	18286772	33515	22910	HABP2
1	18652884	191472	24121	TCF7L2
1	18958087	338649	12950	VTI1A
1	19298401	77901	13226	ZDHHC6
1	19312408	62987	22003	ACSL5
1	19421055	18355	9735	TECTB
1	19495382	57847	14742	GPAM
1	20480154	1397	3921	ADRA2A
1	20500438	104980	12499	SHOC2
1	20605913	16087	20430	BBIP1
1	20623135	25935	20935	PDCD4
1	20682832	187445	21552	RBM20
1	20910563	33413	22396	SMC3
1	20986059	11578	13514	DUSP5
1	21160294	8957	29973	SMNDC1
1	21177376	79323	3985	MXI1
1	21318891	136921	13629	ADD3
1	21535365	54170	22579	XPNPEP1
1	23752482	510614	23046	SORCS1
1	24768828	103	26738	U6
1	25374874	564410	8241	SORCS3
1	26088672	113413	19301	CFAP58
1	26233042	4571	10108	ITPRIP
1	26250200	37862	11560	GSTO1
1	26294963	233262	21278	CFAP43
1	26406009	3744	5386	SFR1
1	26456103	50983	7909	COL17A1
1	26512970	52135	10212	SLK
1	26566830	85642	23477	STN1
1	26681698	238017	9545	SH3PXD2A
1	26926693	81452	12870	NEURL1
1	27024933	6134	19882	CALHM3
1	27042847	3467	20482	CALHM1
1	27049154	4908	20495	CALHM2
1	27056247	43902	20507	PDCD11
1	27102414	124	25603	eca-mir-1307
1	27104052	261	28196	ATP5MD
1	27106587	12910	5853	TAF5
1	27150312	27961	17183	PCGF6
1	27188978	11061	32667	INA
1	27199678	137546	22574	NT5C2
1	27336750	159185	18159	CNNM2
1	27508011	14229	18722	AS3MT
1	27534992	42556	10022	CYP17A1
1	27586657	51707	24142	WBP1L
1	27641691	9610	24231	SFXN2
1	27661571	32823	300	ARL3
