## Ideogram.js gene cache for Homo sapiens
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/homo_sapiens/Homo_sapiens.GRCh38.102.chr.gtf.gz
## prefix: ENSG
# chr	start	length	slim_id	symbol
1	11869	2540	223972	DDX11L1
1	14404	15166	227232	WASH7P
1	17369	67	278267	MIR6859-1
1	29554	1555	243485	MIR1302-2HG
1	30366	137	284332	MIR1302-2
1	34554	1527	237613	FAM138A
1	52473	839	268020	OR4G4P
1	57598	6518	240361	OR4G11P
1	65419	6166	186092	OR4F5
1	89295	44428	238009	AL627309.1
1	89551	1554	239945	AL627309.3
1	131025	3811	233750	CICP27
1	135141	754	268903	AL627309.6
1	137682	283	269981	AL627309.7
1	139790	549	239906	AL627309.2
1	141474	32388	241860	AL627309.5
1	157784	103	222623	RNU6-1100P
1	160446	1079	241599	AL627309.4
1	182696	1478	279928	FO538757.1
1	185217	10194	279457	WASH9P
1	187891	67	273874	MIR6859-2
1	257864	101817	228463	AP006222.1
1	266855	1800	286448	AP006222.2
1	347982	384	236679	RPL23AP24
1	358857	7195	236601	AL732372.1
1	365389	157539	237094	AL732372.2
1	439870	362	269732	WBP1LP7
1	450703	994	284733	OR4F29
1	487101	2805	233653	CICP7
1	491225	2016	250575	AL732372.3
1	516376	103	278757	U6
1	586071	241725	230021	AL669831.3
1	587629	7139	235146	AC114498.1
1	629062	371	225972	MTND1P23
1	629640	1043	225630	MTND2P28
1	631074	1542	237973	MTCO1P12
1	632325	88	278791	AC114498.2
1	632757	681	229344	MTCO2P12
1	633535	206	240409	MTATP8P1
1	633696	680	248527	MTATP6P1
1	634376	546	198744	MTCO3P12
1	674842	423	268663	WBP1LP6
1	685679	994	284662	OR4F16
1	722092	2811	229376	CICP3
1	725885	52741	228327	AL669831.1
1	758233	103	223181	RNU6-1199P
1	760911	1078	229905	AL669831.2
1	778747	31318	237491	LINC01409
1	781937	113	285268	AL669831.6
1	800879	16833	230092	AL669831.4
1	817371	2466	177757	FAM87B
1	825138	34308	228794	LINC01128
1	826206	1316	225880	LINC00115
1	860226	7976	288531	AL669831.7
1	868071	8832	230368	FAM41C
1	873292	1057	234711	TUBB8P11
1	874529	2705	283040	AL669831.5
