## Ideogram.js gene cache for Caenorhabditis elegans
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/caenorhabditis_elegans/Caenorhabditis_elegans.WBcel235.102.chr.gtf.gz
## prefix: WBGene
# chr	start	length	slim_id	symbol
V	180	149	197333	cTel3X.2
V	180	149	198386	cTel3X.3
V	1663	4969	15153	B0348.5
V	6588	1234	2061	ife-3
V	8575	164	255704	B0348.10
V	12525	844	235314	B0348.9
V	20825	22872	1177	egl-8
V	31881	20	169236	21ur-15398
V	39259	105	219784	B0348.8
V	45310	1606	15152	B0348.2
V	48922	697	15151	B0348.1
V	49956	6090	21413	srt-52
V	59239	4270	21412	cyp-29A3
V	63726	777	21414	Y38C9B.3
V	64564	19267	18976	daam-1
V	87756	76	199654	F56E10.6
V	87756	76	200227	F56E10.7
V	102474	20	169451	21ur-15058
V	103394	670	4496	rps-27
V	104826	13362	18975	F56E10.1
V	118043	4923	480	cgp-1
V	124010	2748	20999	W03F9.1
V	127000	1034	21000	W03F9.2
V	128237	3517	21004	sftb-2
V	132450	2543	21001	W03F9.3
V	137177	4193	44512	W03F9.11
V	138892	1333	21003	W03F9.9
V	142449	350	23356	W03F9.8
V	143047	1570	5302	srh-81
V	144805	20	170056	21ur-13870
V	145194	1737	5303	srh-82
V	147538	4566	21002	W03F9.4
V	156825	10041	6648	ttb-1
V	163842	8368	22435	cfap-36
V	166989	9834	22434	Y108G3AL.2
V	172813	350	235163	Y108G3AL.10
V	173660	75	201724	Y108G3AL.8
V	173660	75	202280	Y108G3AL.9
V	177421	7545	838	cul-3
V	186169	14608	44689	arid-1
V	201600	2679	77643	trpp-1
V	204382	5376	17080	lec-12
V	210148	2639	17082	DC2.5
V	217154	2319	5299	srh-78
V	219932	2844	5301	srh-80
V	222995	3952	5298	srh-77
V	228858	5814	17083	kin-33
V	236750	1442	19814	R02C2.1
V	238963	1399	19817	R02C2.6
V	241326	1292	19818	R02C2.7
V	243136	1205	255728	R02C2.8
V	244469	1377	19815	kin-34
V	246618	5138	6419	oac-39
V	252364	2327	6172	str-121
V	254912	3080	19816	nhr-204
V	268238	3181	21981	lgc-26
V	271984	953	44513	nlp-70
V	276989	4727	21983	npr-5
V	297949	2056	18010	F33E11.2
V	300015	4698	18011	F33E11.3
V	305457	6108	18013	phf-10
V	318954	96	219932	F33E11.7
V	320204	3443	3614	nhr-15
V	323774	6951	22	abt-4
V	325972	30	44750	Y39D8C.2
V	334646	2215	20708	dmd-8
V	343428	4195	20707	wago-10
V	349374	9642	20706	atg-9
V	359766	3939	20705	T22H9.1
V	364950	4138	21450	mltn-6
V	370333	3467	21449	mltn-7
V	372721	542	196358	Y39D8B.4
V	374408	5878	21451	mltn-8
V	376896	149	201032	Y39D8B.5
V	381901	2787	22643	ZK6.8
V	385713	2377	22642	lipl-5
V	388697	2901	22641	ZK6.6
V	392628	2489	22640	nhr-254
V	396827	1929	22639	nhr-253
V	400192	1410	22638	scl-27
V	401688	1440	5284	srh-62
V	404619	1378	22637	nhr-252
V	408265	1815	22636	nhr-278
V	410589	341	219773	linc-32
V	411782	2978	22644	dod-19
V	415713	1995	22645	ZK6.11
V	419435	2404	21448	Y39D8A.1
V	422498	1566	15259	dod-20
V	424440	2120	15258	B0554.5
V	429144	4430	15257	B0554.4
V	434198	2528	15255	B0554.2
V	436982	20	170618	21ur-15502
V	437576	3447	15260	B0554.7
V	438401	273	15254	B0554.1
V	441820	1473	5256	srh-33
V	444893	1781	5257	srh-34
V	447569	1661	5258	srh-35
V	449915	523	19744	M02H5.8
V	451451	2295	3713	nhr-123
V	454009	2763	3688	nhr-98
V	459734	2165	19743	nhr-203
V	462600	2363	19742	nhr-202
V	465757	1734	19741	nhr-201
V	467567	993	19745	srbc-57
V	472889	1742	19740	srt-31
V	474791	2359	3689	nhr-99
V	478162	2548	3645	nhr-55
V	480811	2544	3720	nhr-130
V	482048	20	166752	21ur-11975
V	484901	1994	20153	nhr-212
V	486990	2114	20152	nhr-211
V	489647	1783	3696	nhr-106
V	491732	1909	6233	str-196
V	494499	2788	3721	nhr-131
V	497839	1104	20151	T01G6.1
V	499770	1560	6282	str-256
V	502142	1081	20154	T01G6.10
V	504028	588	4144	pqn-60
V	505491	577	20014	R11G11.6
V	508112	1691	5851	srw-104
V	511194	1326	5260	srh-37
V	513390	1836	5852	srw-105
V	515787	1601	5853	srw-106
V	517851	1750	20015	nhr-210
V	519852	1765	5854	srw-107
V	521702	2516	20016	lipl-3
V	524796	344	255729	R11G11.16
V	525666	1025	6119	str-54
V	527902	967	5855	srw-108
V	529277	1280	5600	srj-12
V	530799	1020	20013	R11G11.3
V	532290	1774	3648	nhr-58
V	534446	1780	3722	nhr-132
V	536628	790	15759	C14C6.5
V	539460	2025	15758	nhr-155
V	543469	1890	15757	C14C6.3
V	545844	2236	15760	C14C6.6
V	548713	1906	15761	C14C6.7
V	551279	1888	15762	C14C6.8
V	554374	1781	5899	srx-8
V	560195	2761	5898	srx-7
V	563134	1312	15756	C14C6.2
V	564391	1693	5585	sri-73
V	566719	1486	5584	sri-72
V	570571	634	15763	C14C6.12
V	572031	2708	15764	C14C6.13
V	576370	2058	19453	K06H6.5
V	579277	2095	19452	K06H6.4
V	581916	1515	19451	nstp-7
V	582894	102	199860	K06H6.8
V	583801	1507	19454	K06H6.6
V	585848	1402	19450	K06H6.2
V	586522	20	165423	21ur-14154
V	588135	1511	19449	K06H6.1
V	590482	1981	22758	ZK488.6
V	593259	2418	22757	ZK488.5
V	600595	1887	22756	nhr-251
V	603665	540	4177	pqn-98
V	604723	1460	5857	srw-110
V	606781	2163	5856	srw-109
V	607604	702	23402	ZK488.3
V	609144	582	4176	pqn-97
V	610445	2068	3680	nhr-90
V	612781	2127	22755	nhr-250
V	615576	1152	18624	F48G7.13
V	619434	2245	18615	F48G7.4
V	622170	781	18616	F48G7.5
V	623298	1724	18617	srt-17
V	625752	638	18618	F48G7.7
V	627095	555	18619	F48G7.8
V	628059	564	18620	F48G7.9
V	630289	1601	255730	F48G7.15
V	632155	1738	3673	nhr-83
V	634142	751	18621	F48G7.10
V	636587	914	18614	pals-31
V	638628	1300	5621	srj-37
V	640799	2094	18622	nhr-190
V	643762	2437	18623	F48G7.12
V	644156	96	197369	F48G7.14
V	647188	2553	17959	ugt-42
V	651837	1203	5593	srj-5
V	653303	1199	5594	srj-6
V	654727	1196	5451	srh-245
V	656499	1279	5452	srh-246
V	658476	1834	17963	F31F4.17
V	660681	1273	5320	srh-101
V	662479	1964	17960	F31F4.11
V	664797	1126	5472	srh-266
V	665919	1575	17961	nhr-180
V	667896	3546	5687	sru-24
V	672245	2068	5688	sru-25
V	674911	1843	17962	fbxa-72
V	677034	1886	5912	srx-21
V	679963	1502	5913	srx-22
V	682331	1639	5914	srx-23
V	684060	2229	17957	F31F4.1
V	687684	2320	19244	H25P19.1
V	690875	1895	5895	srx-4
V	693541	1184	5632	srj-53
V	695326	688	5631	srj-52
V	696523	3091	21709	ugt-29
V	700079	1590	5896	srx-5
V	702560	1185	21708	srbc-37
V	707218	1235	21707	srbc-38
V	709108	1458	21706	srbc-39
V	710642	2279	21710	cyp-33C11
V	715833	3998	19242	srbc-40
V	722695	1132	19243	fbxb-72
V	724207	3896	1564	icl-1
V	728231	97	219801	C05E4.16
V	728312	5967	5228	srh-2
V	734420	1851	5613	srj-25
V	736803	2067	5612	srj-24
V	742120	1153	15489	C05E4.7
V	743648	1827	6182	str-134
V	746397	1252	6181	str-133
V	748344	2123	5516	sri-4
V	751326	1453	6288	str-262
V	753283	1841	5642	srp-1
V	756469	1423	6087	str-20
V	758576	2683	206359	C05E4.15
V	761626	352	15491	C05E4.12
V	762734	1859	5643	srp-2
V	765032	7553	6266	str-238
V	773518	1336	19983	sti-1
V	774995	2277	19982	srbc-58
V	777571	664	44514	R09E12.9
V	778639	1584	19981	srbc-59
V	780299	1504	44091	srbc-60
V	782732	2031	20060	srab-16
V	787431	2457	20059	srab-15
V	802550	2191	20062	nhr-270
V	809465	367	206411	R13D11.11
V	810793	3933	20058	R13D11.4
V	812812	382	20063	R13D11.10
V	815016	1857	20057	R13D11.3
V	817482	1251	20056	R13D11.1
V	819486	1243	5923	srx-32
V	821784	1238	5922	srx-31
V	823156	1816	5921	srx-30
V	826411	2350	18313	F41H8.2
V	833668	1795	18312	F41H8.1
V	834927	98	201947	F41H8.5
V	835773	3326	19561	K09C6.7
V	839421	513	44778	K09C6.10
V	840236	2982	19562	K09C6.8
V	844686	635	19560	K09C6.6
V	844798	90	201938	K09C6.11
V	847821	1037	19559	srbc-13
V	849499	1833	19558	srbc-12
V	852484	642	19557	K09C6.3
V	853436	1646	19563	K09C6.9
V	856849	5212	19556	K09C6.2
V	857325	71	23103	K09C6.t1
V	859091	101	235188	K09C6.12
V	865074	1755	20155	T02B11.3
V	869481	1648	20156	T02B11.4
V	874008	1720	6118	str-53
V	876245	1020	44777	T02B11.9
V	877530	1137	44776	T02B11.8
V	879793	1781	5210	srg-53
V	882176	2248	5622	srj-38
V	884881	4393	20157	T02B11.6
V	889714	809	255731	T02B11.11
V	891135	796	255732	T02B11.12
V	892692	845	255733	T02B11.13
V	893968	807	235327	T02B11.10
V	894930	4257	3550	nas-32
V	899310	4355	1480	fmo-5
V	904950	6264	19241	trm-2A
V	911776	4539	19240	H24K24.3
V	917817	8128	19239	H24K24.2
V	930933	20	172957	21ur-11651
V	936464	2764	21747	Y50D4C.2
V	939391	5853	21748	Y50D4C.3
V	946732	3128	21750	Y50D4C.6
V	951454	13346	5024	sqv-6
V	970113	57	196278	Y50D4C.7
V	970113	57	197318	Y50D4C.8
V	979903	91	201430	Y50D4C.10
V	979919	75	200351	Y50D4C.9
V	982534	13673	6770	unc-34
V	982581	41	303091	Y50D4C.12
V	982811	95	220173	Y50D4C.11
V	998289	5464	21749	Y50D4C.5
V	1008803	9547	19971	ergo-1
V	1018337	4807	19972	R09A1.2
V	1023782	3291	19973	R09A1.3
V	1027904	5481	19975	flp-34
V	1039277	49	195716	R09A1.6
V	1042692	5888	15344	nra-4
V	1050126	2888	19625	K10C9.4
V	1054602	1171	44515	K10C9.9
V	1055204	77	197358	K10C9.11
V	1055204	77	201957	K10C9.12
V	1056548	2439	6255	str-224
V	1061595	6313	19624	rnst-2
V	1062588	2003	6129	str-67
V	1065682	1990	19626	K10C9.7
V	1075200	4397	19623	K10C9.1
V	1079641	20	173041	21ur-13596
V	1079831	946	268190	Y50D4B.10
V	1081483	889	268189	Y50D4B.9
V	1082523	1680	21746	Y50D4B.7
V	1084316	2956	21745	Y50D4B.6
V	1088283	1608	21744	clec-203
V	1092657	6294	21743	Y50D4B.4
V	1101186	2860	21741	Y50D4B.2
V	1112933	16427	21740	Y50D4B.1
V	1115573	218	196172	Y50D4B.8
V	1130088	1854	21072	W07B8.4
V	1132598	1438	785	cpr-5
V	1134485	4687	21070	cpr-8
V	1140917	87	200572	T21H3.9
V	1141770	4728	20663	cutl-22
V	1150906	2301	219734	linc-128
V	1156271	1903	552	cmd-1
V	1158251	6042	20664	T21H3.5
V	1164211	145	196225	T21H3.6
V	1165128	68	198904	T21H3.8
V	1165673	9296	4230	ptr-16
V	1172727	207	202436	T21H3.10
V	1172769	140	197740	T21H3.7
V	1176724	2140	20662	T21H3.1
V	1179604	1944	17764	F25A2.1
V	1181582	1104	268191	Y50D4A.12
V	1182806	1838	21737	Y50D4A.3
V	1183343	149	200332	Y50D4A.8
V	1184232	148	197345	Y50D4A.7
V	1184876	11270	21738	Y50D4A.4
V	1196072	11720	21736	wrb-1
V	1197813	2859	195169	Y50D4A.6
V	1197814	246	219759	anr-58
V	1207307	485	21739	Y50D4A.5
V	1207889	11985	21735	Y50D4A.1
V	1219936	622	235315	Y50D4A.10
V	1221313	55	255579	mir-8194
V	1223901	11544	16539	madd-2
V	1230820	148	199913	C39F7.8
V	1236858	51	195268	C39F7.6
V	1260465	2151	16538	C39F7.1
V	1262628	1361	4266	rab-1
V	1264510	51	198782	C39F7.7
V	1264773	5387	16540	C39F7.5
V	1270911	2132	22288	Y75B7B.1
V	1274210	1796	22289	Y75B7B.2
V	1276420	9280	4053	tank-1
V	1279491	30	44747	ZK1005.2
V	1288841	10491	1171	egl-2
V	1292861	69	201332	F16B3.4
V	1315105	419	17502	F16B3.2
V	1315643	2276	44774	F16B3.3
V	1326450	88	220206	Y75B7AL.9
V	1332275	25889	22285	Y75B7AL.2
V	1338279	56	197907	Y75B7AL.6
V	1338279	56	199852	Y75B7AL.8
V	1348197	52	199049	Y75B7AL.7
V	1352126	4461	22284	glb-33
V	1358187	5597	4923	snt-3
V	1371265	98	196449	Y75B7AL.5
V	1373120	10134	22286	rga-4
V	1391163	940	22287	Y75B7AR.1
V	1393112	18504	4925	snt-5
V	1412607	95	195319	R12A1.5
V	1422796	2998	20017	R12A1.3
V	1427653	4484	1578	ges-1
V	1434339	1465	19976	fbxa-195
V	1439179	2692	19979	R09B5.11
V	1442588	288	44900	cnc-11
V	1444044	236	555	cnc-1
V	1445381	451	559	cnc-5
V	1447195	512	558	cnc-4
V	1448004	786	557	cnc-3
V	1449665	524	556	cnc-2
V	1451634	2706	5611	srj-23
V	1454942	20	174088	21ur-14524
V	1455062	1584	19980	chil-14
V	1460369	1244	19978	hacd-1
V	1462063	2636	19977	fpn-1.2
V	1464990	1370	4139	pqn-54
V	1467744	3361	18757	tag-304
V	1475072	1718	302980	F53E2.2
V	1475086	4495	6794	unc-60
V	1482042	1973	16513	C38C3.4
