## Ideogram.js gene cache for Homo sapiens
## Derived from https://ftp.ensembl.org/pub/release-102/gff3/homo_sapiens/Homo_sapiens.GRCh38.102.gff3.gz
## prefix: ENSG
# chr	start	length	slim_id	symbol	description
17	6578147	62564	198920	KIAA0753	KIAA0753
7	138831381	150008	122778	KIAA1549	KIAA1549
1	175156986	36013	235750	KIAA0040	KIAA0040
14	58427385	123912	100578	KIAA0586	KIAA0586
10	23694746	853102	120549	KIAA1217	KIAA1217
5	176346062	15745	122203	KIAA1191	KIAA1191
3	44737661	23958	163807	KIAA1143	KIAA1143
18	36829106	403066	150477	KIAA1328	KIAA1328
1	32741830	33140	162522	KIAA1522	KIAA1522
22	24952730	244718	197077	KIAA1671	KIAA1671
1	3205988	2676	279839	AL512383.1	TEC
1	9826289	1982	280113	AL357140.3	TEC
1	18109389	6472	280222	AL365209.1	TEC
1	22364630	1852	279625	AL591122.1	TEC
1	28544460	2082	279443	AL513497.1	TEC
1	32973553	910	278966	AL031602.1	TEC
1	33141871	1359	278997	AL662907.1	TEC
1	33162851	3447	279179	AL662907.2	TEC
1	40473055	1004	279667	AL603839.4	TEC
1	48102068	2668	279096	AL356289.2	TEC
1	48262230	949	279214	AL109659.3	TEC
1	54033126	1754	280378	AL353898.3	TEC
1	72979014	300	280317	AL732618.1	TEC
1	85152487	1716	280099	AL603750.1	TEC
1	87805286	3086	279778	AL445437.1	TEC
1	108200413	2330	280186	AL359258.3	TEC
1	117493515	1491	279513	AL157902.2	TEC
1	120913151	1087	281741	AC241377.3	TEC
1	145214851	1087	281571	AC241585.2	TEC
1	145459798	2209	286620	AC239860.3	TEC
1	148458814	1057	280649	AC245100.7	TEC
1	172752586	338	279061	Z98043.1	TEC
1	185292384	1988	279838	AL356273.3	TEC
1	185518651	2335	279401	AL133383.2	TEC
1	228121523	2248	280157	AL359510.2	TEC
10	5346651	626	280450	AL683826.1	TEC
10	7411599	1868	278982	AL139125.1	TEC
10	10394670	1067	279575	AL583859.2	TEC
10	11395808	2984	280086	AC026887.1	TEC
10	22252072	2517	279631	AL158211.5	TEC
10	22693953	686	279819	AL390318.1	TEC
10	24481180	1854	279029	AL353583.1	TEC
10	26695091	2534	279212	AL390961.3	TEC
