#Species1: homo_sapiens
#Assembly: GRCh37
#Species2: mus_musculus
#Assembly: GRCm38
# eweitz: Using GRCh38 instead of GRCh37.  TODO: Support `assemblies` in multi-organism Ideogram.
# eweitz: Provenance: http://webclu.bio.wzw.tum.de/cgi-bin/syntenymapper/get-species-list.py
#ID	Chromosome_spec1	Start_spec1	End_spec1	Chromosome_spec2	Start_spec2	End_spec2	Dir
44632	chr2	190506076	196592789	chr1	46812285	53360818	-1
44533	chr15	22833222	23396962	chr7	55793904	56188883	-1
44532	chr14	58666612	106375879	chr12	70937761	113525420	1
44535	chr15	28815855	28927409	chr7	56049949	56188883	1
44534	chr15	23914751	28586067	chr7	56049949	62360459	-1
44531	chr14	52688635	58629894	chr14	44857639	49792687	1
44530	chr14	52272055	52598781	chr14	19705713	20050702	-1
44537	chr15	32906280	51298173	chr2	112238533	127069482	1
44536	chr15	29107424	32578594	chr7	62979425	65638874	-1
44539	chr15	51961808	79003116	chr9	54528484	75699125	1
44538	chr15	51349622	51942502	chr9	54026649	54528061	1
44738	chr7	66836775	72187815	chr5	130292152	134068264	-1
44739	chr7	72559776	76149827	chr5	134080893	136050244	1
44734	chr7	36524506	43605930	chr13	14226102	21038318	-1
44735	chr7	43964080	55317931	chr11	5758620	16947261	1
44736	chr7	55432375	55641209	chr6	57701865	57826195	1
44737	chr7	56019352	56184138	chr5	129715290	129913773	1
44730	chr7	22602400	22772664	chr5	29840952	30020584	1
44731	chr7	22851563	23240676	chr5	23710905	24182969	1
44732	chr7	23254156	33103246	chr6	49012314	56924734	1
44733	chr7	33134362	36494039	chr9	22331490	25605192	-1
44546	chr16	78819	223820	chr11	32190048	32295280	1
# eweitz: adjusting End_spec1 to account for shorter GRCh38 length
#44545	chr15	99080385	102265870	chr7	65643222	68281160	-1
44545	chr15	99080385	101991189	chr7	65643222	68281160	-1
44544	chr15	91593058	99078056	chr7	68282520	75371295	-1
44543	chr15	85829657	91565912	chr7	75361327	80855735	-1
44542	chr15	83205465	85682414	chr7	80856747	82721698	1
44541	chr15	80268694	82577743	chr7	82632490	84761558	-1
44540	chr15	79042978	80268693	chr9	89196534	90207257	-1
44549	chr16	15052628	15197331	chr16	13724994	13932758	-1
44548	chr16	3283710	14795969	chr16	3698191	13734011	1
