## Ideogram.js gene cache for Gallus gallus
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/gallus_gallus/Gallus_gallus.GRCg6a.102.chr.gtf.gz
## prefix: ENSGALG
# chr	start	length	slim_id	symbol
1	58427	190	47594	U2
1	63264	190	49206	U2
1	68200	3433	29624	DHRS4
1	75379	15151	38527	CARMIL3
1	216908	86803	50315	CLC2DL3
1	323123	34471	41494	GOLGB1
1	359020	12005	39682	HCLS1
1	383297	4307	38044	NME6
1	387716	4579	32458	RABL2A
1	395826	5591	35824	ARSA
1	421772	60	50523	gga-mir-12207
1	572202	109	34440	gga-mir-6708
1	596813	96	38707	gga-mir-1604
1	712929	6559	51055	MAPK8IP2
1	813323	18012	50267	CALU
1	1096008	6799	43476	ARF5
1	1103223	4885	33149	GCC1
1	1110497	17769	43771	DENND6B
1	1142788	58393	29341	PPP6R2
1	1178464	83	35085	gga-mir-1651
1	1216193	59250	43178	SBF1
1	1281583	2533	41965	MIOX
1	1284583	6564	41528	LMF2
1	1291724	8967	54793	NCAPH2
1	1300935	755	46885	SCO2
1	1303775	9586	39982	IRF5
1	1323611	9418	39420	TNPO3
1	1339503	8742	36114	SMO
1	1354962	37880	32868	AHCYL2
1	1393886	13894	38520	STRIP2
1	1415723	1963	47596	SMKR1
1	1439043	35969	40060	NRF1
1	1478703	81	54860	gga-mir-182
1	1479722	78	48065	gga-mir-96
1	1479841	90	24492	gga-mir-183
1	1491840	41912	31975	UBE2H
1	1535010	9010	8003	ZC3HC1
1	1543088	109	27129	gga-mir-6676
1	1544377	12929	8013	KLHDC10
1	1553201	109	28816	gga-mir-6629
1	1569016	11837	8036	TMEM209
1	1584921	9354	8048	CPA2
1	1595635	4332	27296	CPA5
1	1600797	3796	8087	CPA1
1	1605215	9165	8103	CEP41
1	1614551	5137	8111	MEST
1	1619330	19296	8144	COPG2
1	1655960	24508	8162	FBXO18
1	1679825	16527	8168	ANKRD16
1	1696185	16035	8169	GDI1
1	1699253	46489	55101	TASOR2
1	1752992	10239	8401	ASB13
1	1768773	1022	8424	CALML3
1	1772740	11418	8437	NET1
1	1833150	7298	8444	TUBAL3
1	1849044	3864	32978	UCN3
1	1908494	97	18270	gga-mir-205b
1	1976735	12212	38187	SLC35B4
1	1997923	49144	37842	LRGUK
1	2056289	455646	8477	EXOC4
1	2368745	109	28216	gga-mir-6659
1	2596212	186877	6489	CHCHD3
1	2887148	447439	6473	PLXNA4
1	3308960	109	27460	gga-mir-6621
1	3688056	40702	6409	PODXL
1	3736971	99096	6356	MKLN1
1	4029386	80	18236	gga-mir-29b-1
1	4030403	88	18235	gga-mir-29a
1	4059566	12109	41978	K123
1	4077855	16421	42471	IL2RA
1	4112110	13865	6332	RBM17
1	4138801	37156	40369	PFKFB3
1	4524285	91773	9279	SFMBT2
1	4720811	46279	6891	ITIH5
1	4774156	25125	6833	ITIH2
1	4800961	14807	30702	KIN
1	4815823	6936	6753	ATP5C1
1	4825152	112473	6731	TAF3
1	4968059	18955	29270	GATA3
1	6143111	370306	34590	CELF2
1	6229359	89	25441	gga-mir-1626
1	6347545	89	25473	gga-mir-1596
1	6569105	110267	35563	USP6NL
1	6699316	4745	6690	ECHDC3
1	6753645	47952	33772	UPF2
1	6811050	16438	3674	DHTKD1
1	6834525	15616	36300	SEC61A2
1	6851074	7249	13967	NUDT5
1	6862559	34185	14038	CDC123
1	6924409	213311	33051	CAMK1D
1	7161428	39054	30140	CCDC3
1	7225803	19577	13738	OPTN
1	7248738	15182	34198	MCM10
1	7269227	11886	35636	PHYH
1	7287501	23781	14575	SEPHS2L
1	7324436	48224	6682	BEND7
1	7410004	28489	34992	FRMD4A
1	7488034	96	25161	gga-mir-1460
1	7825021	63276	33226	FAM107B
1	7970728	10882	35201	HSPA14
1	7983063	9759	13920	SUV39H2
1	7993092	10571	13926	DCLRE1C
1	8003807	6263	451	MEIG1
1	8021261	6914	6633	TMEM243
1	8028172	28554	30844	DMTF1
1	8136573	44227	30324	ELAPOR2
1	8188214	107486	6576	GRM3
1	8841295	141679	6563	SEMA3D
