## Ideogram.js gene cache for Pan troglodytes
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/pan_troglodytes/Pan_troglodytes.Pan_tro_3.0.102.chr.gtf.gz
## prefix: ENSPTRG
# chr	start	length	slim_id	symbol
1	107614	1533	39445	HES4
1	183880	722	49634	RNF223
1	193735	5566	52382	C1H1orf159
1	355943	89	27819	ptr-mir-200a
1	363597	19318	8	TTLL10
1	387674	2960	9	TNFRSF18
1	395835	2613	44847	TNFRSF4
1	401522	15608	50180	SDF4
1	417286	989	42781	B3GALT6
1	426420	6224	46221	C1QTNF12
1	437964	20035	51432	UBE2J2
1	465081	9914	17	SCNN1D
1	476945	15457	24081	ACAP3
1	492706	3525	21	PUSL1
1	496163	13732	51102	INTS11
1	510372	3737	46367	CPTP
1	516584	4428	24	TAS1R3
1	521027	13431	25	DVL1
1	537216	8616	45448	MXRA8
1	567937	2041	27	AURKAIP1
1	580586	13106	28	CCNL2
1	596040	5401	29	MRPL20
1	599594	288	39838	Metazoa_SRP
1	612977	1997	51520	ANKRD65
1	620091	2517	47774	TMEM88B
1	630453	7348	49572	VWA1
1	647192	10493	33	ATAD3C
1	677495	15135	31	ATAD3B
1	728993	5869	46881	TMEM240
1	736282	54005	34	SSU72
1	809317	680	41651	FNDC10
1	826526	15173	47681	MIB2
1	842814	3034	35	MMP23
1	870883	19717	37	SLC35E2B
1	909581	23498	38	NADK
1	937736	47698	48657	GNB1
1	1067568	3768	40	CALML6
1	1071548	1691	41	TMEM52
1	1076225	71139	44755	CFAP74
1	1178232	9590	23374	GABRD
1	1360134	10326	44	FAAP20
1	1405573	98854	47	SKI
1	1518905	84503	48	MORN1
1	1604373	13246	49	RER1
1	1617006	7781	50	PEX10
1	1681607	37601	51	PLCH2
1	1722784	18319	52	PANK4
1	1743204	1513	24233	HES5
1	1772435	7453	53	TNFRSF14
1	1803362	6021	54	PRXL2B
1	1807239	42157	55	MMEL1
1	1874015	34940	33888	TTC34
1	2143039	1133	57	ACTRT2
1	2192319	384565	59	PRDM16
1	2601412	18264	60	ARHGEF16
1	2629563	132014	45016	MEGF6
1	2700885	95	28018	ptr-mir-551a
1	2775339	5123	63	TPRG1L
1	2781112	23519	64	WRAP73
1	2806851	81994	62	TP73
1	2905027	19330	67	CCDC27
1	2925397	3305	50245	SMIM1
1	2932977	16283	68	LRRC47
1	2935578	280	48679	Metazoa_SRP
1	2967445	43411	69	CEP104
1	3010890	35612	70	DFFB
1	3050214	12539	24207	C1H1orf174
1	3838225	139306	72	AJAP1
1	5108753	133633	48943	NPHP4
1	5268508	76191	52739	KCNAB2
1	5345291	92819	75	CHD5
1	5439428	18201	76	RPL22
1	5464444	13417	78	RNF207
1	5478253	14861	79	ICMT
1	5501500	1175	81	HES3
1	5504517	13554	82	GPR153
1	5521322	136653	84	ACOT7
1	5676710	8234	85	HES2
1	5729931	5354	34540	TNFRSF25
1	5736332	52469	88	PLEKHG5
1	5790651	33453	89	NOL9
1	5810225	110	38535	U6
1	5824173	23543	90	TAS1R1
1	5847950	9319	30844	ZBTB48
1	5858690	12170	91	KLHL21
1	5886116	10531	92	PHF13
1	5897250	9510	93	THAP3
1	5906845	68115	94	DNAJC11
1	6066668	982590	96	CAMTA1
1	6499317	164	27342	U1
1	7050843	10142	98	VAMP3
1	7063900	60824	99	PER3
1	7123487	10258	100	UTS2
1	7194711	25041	45878	TNFRSF9
1	7238836	23625	102	PARK7
1	7260058	102	26490	Y_RNA
1	7280952	21832	103	ERRFI1
1	7490989	163	26889	U1
1	7609770	106	38238	U6
1	7635346	26368	104	SLC45A1
1	7667313	347819	106	RERE
1	8109497	102	36616	Y_RNA
1	8175200	13901	109	ENO1
1	8253091	53271	111	CA6
1	8310803	302	49181	Metazoa_SRP
1	8334190	23458	23465	SLC2A7
1	8368217	50526	112	SLC2A5
1	8433758	25893	30841	GPR157
1	8482192	109	27692	ptr-mir-34a
1	8573434	26708	113	H6PD
1	8649948	54868	114	SPSB1
1	8778034	109	37254	5S_rRNA
1	8876593	58661	115	SLC25A33
1	8941229	26320	49393	TMEM201
1	9072598	39050	120	PIK3CD
1	9111754	96057	121	CLSTN1
1	9231018	71194	46205	CTNNBIP1
1	9320574	17071	44719	LZIC
1	9337138	49622	124	NMNAT1
1	9341536	318	26426	7SK
1	9398759	30704	125	RBP7
1	9447583	156659	126	UBE4B
1	9587173	106	31700	U6
1	9626002	185010	127	KIF1B
1	9731591	106	52816	U6
1	9739089	292	39158	Metazoa_SRP
1	9833823	29397	41336	PGD
1	9872840	33010	130	CENPS
1	9914572	11730	131	DFFA
1	9928624	155886	132	PEX14
1	10070576	279	39773	Metazoa_SRP
1	10092698	54913	133	CASZ1
1	10400247	35760	134	C1H1orf127
1	10463719	12711	136	TARDBP
1	10477961	19857	137	MASP2
1	10504186	7186	138	SRM
1	10518041	40154	140	EXOSC10
1	10564866	159591	142	MTOR
1	10611407	102	38315	U6
1	10646600	8455	143	ANGPTL7
1	10685424	106	43628	U6
1	10735160	21745	144	UBIAD1
1	10975135	36262	145	DISP3
1	11122124	6428	146	FBXO2
1	11128577	7427	147	FBXO44
1	11138502	10800	148	FBXO6
1	11149432	7018	149	MAD2L2
1	11166564	29285	150	DRAXIN
1	11211008	14651	151	AGTRAP
1	11236744	27685	152	C1H1orf167
1	11261754	17466	153	MTHFR
1	11281060	36894	154	CLCN6
1	11320533	2292	155	NPPA
1	11332353	1507	156	NPPB
1	11369098	118	33364	U5
1	11370855	123	35430	U5
1	11381361	30304	157	KIAA2013
1	11419815	41607	158	PLOD1
1	11466102	33182	159	MFN2
1	11505096	12807	160	MIIP
1	11509882	112	27505	Y_RNA
1	11522562	274	41652	Metazoa_SRP
1	11549311	79916	161	TNFRSF8
1	11563976	103	25945	U6
1	11653884	42052	164	TNFRSF1B
1	11707869	123	37539	SNORA70
1	11716745	283723	165	VPS13D
1	12057049	51946	167	DHRS3
1	12135046	22193	30826	AADACL4
1	12206240	12642	168	AADACL3
1	12236283	15120	170	C1H1orf158
1	12263786	4125	30821	PRAMEF12
1	12444000	3639	30819	PRAMEF19
1	12490638	3030	30820	PRAMEF17
1	12511473	10929	41322	PRAMEF20
1	12576537	38825	182	LRRC38
1	12687538	34142	184	PDPN
1	12726908	100	36187	5S_rRNA
1	12815510	110136	185	PRDM2
1	12992121	1251343	186	KAZN
1	13231211	102	36498	U6
1	14361268	6318	193	TMEM51
1	14399202	146189	194	FHAD1
1	14557856	20242	50778	EFHD2
1	14586224	8147	197	CTRC
1	14604513	15274	34262	CELA2A
1	14623808	15154	49760	CELA2B
1	14639925	32195	200	CASP9
1	14674446	48098	201	DNAJC16
1	14721074	11800	202	AGMAT
1	14755807	67	38582	U7
1	14766725	45709	24059	DDI2
1	14836823	50413	205	PLEKHM2
1	14887416	6451	206	SLC25A34
1	14894574	7425	207	TMEM82
