# Derived from Homo_sapiens.GRCh38.102.chr.gtf.gz in http://ftp.ensembl.org/pub/release-102/gtf/homo_sapiens/
# Chromosome	Start	End	Ensembl ID	Name
1	11869	14409	00000223972	DDX11L1
1	14404	29570	00000227232	WASH7P
1	29554	31109	00000243485	MIR1302-2HG
1	34554	36081	00000237613	FAM138A
1	52473	53312	00000268020	OR4G4P
1	57598	64116	00000240361	OR4G11P
1	65419	71585	00000186092	OR4F5
1	89295	133723	00000238009	AL627309.1
1	89551	91105	00000239945	AL627309.3
1	131025	134836	00000233750	CICP27
1	135141	135895	00000268903	AL627309.6
1	137682	137965	00000269981	AL627309.7
1	139790	140339	00000239906	AL627309.2
1	141474	173862	00000241860	AL627309.5
1	160446	161525	00000241599	AL627309.4
1	182696	184174	00000279928	FO538757.1
1	185217	195411	00000279457	WASH9P
1	257864	359681	00000228463	AP006222.1
1	347982	348366	00000236679	RPL23AP24
1	358857	366052	00000236601	AL732372.1
1	365389	522928	00000237094	AL732372.2
1	439870	440232	00000269732	WBP1LP7
1	450703	451697	00000284733	OR4F29
1	487101	489906	00000233653	CICP7
1	491225	493241	00000250575	AL732372.3
1	586071	827796	00000230021	AL669831.3
1	587629	594768	00000235146	AC114498.1
1	629062	629433	00000225972	MTND1P23
1	629640	630683	00000225630	MTND2P28
1	631074	632616	00000237973	MTCO1P12
1	632757	633438	00000229344	MTCO2P12
1	633535	633741	00000240409	MTATP8P1
1	633696	634376	00000248527	MTATP6P1
1	634376	634922	00000198744	MTCO3P12
1	674842	675265	00000268663	WBP1LP6
1	685679	686673	00000284662	OR4F16
1	722092	724903	00000229376	CICP3
1	725885	778626	00000228327	AL669831.1
1	760911	761989	00000229905	AL669831.2
1	778747	810065	00000237491	LINC01409
1	781937	782050	00000285268	AL669831.6
1	800879	817712	00000230092	AL669831.4
1	817371	819837	00000177757	FAM87B
1	825138	859446	00000228794	LINC01128
1	826206	827522	00000225880	LINC00115
1	868071	876903	00000230368	FAM41C
1	873292	874349	00000234711	TUBB8P11
1	874529	877234	00000283040	AL669831.5
1	904834	915976	00000272438	AL645608.6
1	911435	914948	00000230699	AL645608.2
1	914171	914971	00000241180	AL645608.4
1	916865	921016	00000223764	LINC02593
1	923928	944581	00000187634	SAMD11
1	944203	959309	00000188976	NOC2L
1	960584	965719	00000187961	KLHL17
1	966482	975865	00000187583	PLEKHN1
1	975204	982093	00000187642	PERM1
1	995966	998051	00000272512	AL645608.7
1	998962	1000172	00000188290	HES4
1	1001138	1014540	00000187608	ISG15
1	1008076	1008229	00000231702	AL645608.3
1	1011997	1013193	00000224969	AL645608.1
1	1020120	1056118	00000188157	AGRN
1	1055033	1056116	00000242590	AL645608.5
1	1059708	1069355	00000217801	AL390719.1
1	1062208	1063288	00000273443	AL645608.8
1	1070967	1074306	00000237330	RNF223
1	1081818	1116361	00000131591	C1orf159
1	1097585	1104598	00000285812	AL390719.3
1	1137017	1144056	00000223823	LINC01342
1	1169357	1170343	00000272141	AL390719.2
1	1173056	1179555	00000205231	TTLL10-AS1
1	1173880	1197936	00000162571	TTLL10
1	1203508	1206592	00000186891	TNFRSF18
1	1211340	1214153	00000186827	TNFRSF4
1	1216909	1232067	00000078808	SDF4
1	1232237	1235041	00000176022	B3GALT6
1	1242446	1246722	00000184163	C1QTNF12
1	1249777	1251334	00000260179	AL162741.1
1	1253909	1273864	00000160087	UBE2J2
1	1275223	1280420	00000230415	LINC01786
1	1280436	1292029	00000162572	SCNN1D
1	1292390	1309609	00000131584	ACAP3
1	1308597	1311677	00000169972	PUSL1
1	1311585	1324687	00000127054	INTS11
1	1317581	1318689	00000240731	AL139287.1
