## Ideogram.js gene cache for Sus scrofa
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/sus_scrofa/Sus_scrofa.Sscrofa11.1.102.chr.gtf.gz
## prefix: ENSSSCG
# chr	start	length	slim_id	symbol
1	23782	16251	27257	PSMB1
1	96128	90621	29697	FAM120B
1	199231	12113	27726	DLL1
1	512676	28222	4010	ERMARD
1	541028	10935	4009	TCTE3
1	555355	21358	30155	PHF10
1	575718	2713	38931	C6orf120
1	855030	27443	4012	THBS2
1	1013707	95	32192	ssc-mir-9815
1	1193163	139929	4013	SMOC2
1	1413856	10167	31703	DACT2
1	1432043	140	44594	U2
1	1569655	129121	4018	AFDN
1	1665568	75	38097	ssc-mir-9824
1	1930020	28125	27404	UNC93A
1	2018608	1213	24562	CCR6
1	2086925	33853	4023	CEP43
1	2203605	318999	4022	RPS6KA2
1	2576729	16782	4020	SFT2D1
1	2717165	7811	36609	TBXT
1	2893742	76	34772	ssc-mir-9831
1	3065680	99	19654	U6
1	3120223	272428	4027	PDE10A
1	4735513	148255	4029	QKI
1	4968225	496841	38153	PACRG
1	5465511	1265370	4032	PRKN
1	5529244	132	38784	SNORA70
1	6772506	111049	4033	AGPAT4
1	6891255	159119	4037	MAP3K4
1	7061191	49364	4038	PLG
1	7110072	97330	4039	SLC22A3
1	7289831	33315	4040	SLC22A2
1	7340116	25404	4041	SLC22A1
1	7368103	104445	4044	IGF2R
1	7526653	2170	4045	MAS1
1	7560241	19013	4046	PNLDC1
1	7581763	8269	4047	MRPL18
1	7589521	12274	4048	TCP1
1	7598735	14076	4049	ACAT2
1	7622544	29417	4050	WTAP
1	7651280	40443	40317	SOD2
1	8007001	74816	4052	FNDC1
1	8208084	11546	4053	TAGAP
1	8243905	21754	4055	RSPH3
1	8403453	49297	4058	EZR
1	8453283	93247	4057	SYTL3
1	8556059	7620	33107	DYNLT1
1	8563545	72136	24876	TMEM181
1	8935091	67679	12314	SERAC1
1	9014551	94552	12315	SYNJ2
1	9130334	109009	30535	SNX9
1	9350294	269433	35027	ZDHHC14
1	9667291	56056	4063	TMEM242
1	9791629	436318	4064	ARID1B
1	10483580	69	45185	ssc-mir-9857
1	10700366	90	50400	ssc-mir-9787
1	11446060	54918	4068	NOX3
1	11566249	87632	24361	TFB1M
1	11648507	150561	4065	TIAM2
1	11767640	354708	4070	SCAF8
1	12297673	98065	4071	CNKSR3
1	12528672	173771	4074	OPRM1
1	13340354	101704	4075	RGS17
1	13446490	11798	4076	MTRF1L
1	13467501	38435	4077	FBXO5
1	13611311	8958	4078	VIP
1	13649498	39178	31536	MYCT1
1	14217036	276327	25777	ESR1
1	14507602	243449	4087	CCDC170
1	14772575	22743	4088	ARMT1
1	14795691	59378	4089	RMND1
1	14866252	28696	4090	ZBTB2
1	14908115	108886	31733	AKAP12
1	15140898	189068	4092	MTHFD1L
1	15341637	245954	32778	PLEKHG1
1	15756550	22614	4093	IYD
1	15865220	84736	4094	PPP1R14C
1	16112815	6859	26042	ULBP1
1	16139496	59473	4101	LRP11
1	16198223	51308	4103	PCMT1
1	16249546	18078	4105	NUP43
1	16274970	45649	4106	LATS1
1	16321355	39443	4104	KATNA1
1	16360370	21494	30067	GINM1
1	16400985	45867	28867	PPIL4
1	16465252	33719	4109	ZC3H12D
1	16533284	78600	4110	TAB2
1	16840530	297863	28974	UST
1	17306372	356453	33175	SASH1
1	18231468	58554	48240	SAMD5
1	18345363	167889	4113	STXBP5
1	18870875	227017	4114	RAB32
1	19173791	398978	4119	GRM1
1	19612823	82449	4120	SHPRH
1	19755720	268678	4121	FBXO30
1	20511240	537547	4123	UTRN
1	21127559	32132	4125	STX11
1	21304042	66572	4127	PLAGL1
1	21372991	40781	4128	ZC2HC1B
1	21441492	282298	4132	PHACTR2
1	21706554	105	20208	U6
1	21742494	20407	4133	FUCA2
1	21750289	51893	4134	PEX3
1	21801560	25756	39598	ADAT2
1	21913239	251844	4136	AIG1
1	22085693	105	47221	U2
1	22241840	194249	4138	HIVEP2
1	22662020	139844	4139	ADGRG6
1	22859390	64449	4140	VTA1
1	22933885	1236	34307	GJE1
1	22972287	15892	36250	NMBR
1	24997898	106	36890	U6
1	25155664	4615	4142	CITED2
1	25228615	56690	4143	TXLNB
1	25310170	54077	4144	HECA
1	25432706	14888	4145	ABRACL
1	25481342	83936	4146	REPS1
1	25566954	77343	4147	ECT2L
1	25647000	16275	4148	CCDC28A
1	25736370	252275	4149	NHSL1
