## Ideogram.js gene cache for Rattus norvegicus
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/rattus_norvegicus/Rattus_norvegicus.Rnor_6.0.102.chr.gtf.gz
## prefix: ENSRNOG
# chr	start	length	slim_id	symbol
1	396700	13050	46319	AABR07000046.1
1	699413	8652	47964	AABR07000089.1
1	744616	11029	50370	Vom2r6
1	804862	8655	32365	Vom2r5
1	1101965	14961	40300	Raet1e
1	1115869	121	58808	AABR07000109.1
1	1180932	39984	61316	Ulbp1
1	1390128	2201	50129	AABR07000137.1
1	1439099	3087	40316	AABR07000145.1
1	1454868	19978	23659	AABR07000147.1
1	1545134	1035	29897	AABR07000156.1
1	1617385	2249	42852	AABR07000158.1
1	1628117	117	61806	AABR07000158.2
1	1669086	275	55877	AABR07000159.4
1	1702696	28514	14303	Lrp11
1	1726382	132	51899	AABR07000159.1
1	1736276	31342	14330	Pcmt1
1	1771710	10381	49505	Nup43
1	1784078	33232	14916	Lats1
1	1825872	41915	14996	Katna1
1	1870388	15593	15239	Ginm1
1	1885876	333	55508	AABR07000159.3
1	1888877	359	53710	AABR07000159.2
1	1897338	32425	15552	Ppil4
1	1938419	34499	16041	Zc3h12d
1	1999596	74300	16054	Tab2
1	2333778	293969	16381	Ust
1	2720299	104	54005	U6
1	2750892	11502	59137	AABR07000173.1
1	2782864	63336	13160	Sash1
1	3713750	49642	23549	Samd5
1	3848619	461	31859	RGD1560633
1	3858909	152602	13351	Stxbp5
1	4328345	28147	53182	AABR07000200.1
1	4445027	115762	42741	Adgb
1	4637491	15719	14258	Rab32
1	4753144	412715	14290	Grm1
1	5168027	89	41566	AABR07000220.1
1	5238340	560	14431	AABR07000222.1
1	5240180	72874	14450	Shprh
1	5366379	21690	14852	Fbxo30
1	5437972	137	52274	SNORA70
1	5448958	122554	40242	Epm2a
1	5740144	129	54906	AABR07000239.1
1	6038601	126	58048	AABR07000247.1
1	6278881	912	51844	AABR07000248.1
1	6440055	189	53880	SNORA73
1	6451810	518230	11058	Utrn
1	7039162	25708	14902	Stx11
1	7101715	711	14908	Sf3b5
1	7171507	107	36310	AABR07000257.1
1	7252349	6686	25587	Plagl1
1	7294027	28428	42705	Zc2hc1b
1	7305658	7542	43188	AABR07000261.1
1	7323040	12896	15217	Ltv1
1	7355154	125671	15473	Phactr2
1	7658890	14793	15551	Fuca2
1	7685338	41063	15660	Pex3
1	7726529	15955	46983	Adat2
1	7800941	497	16624	AABR07000276.1
1	7816838	221827	10753	Aig1
1	8310577	23308	11015	Hivep2
1	8465333	758	11399	AABR07000292.1
1	8593075	158123	11411	Adgrg6
1	8830411	47833	11540	Vta1
1	8883961	2006	12092	Gje1
1	8933831	11156	12103	Nmbr
1	9201884	130	59930	AABR07000304.1
1	9848303	1150	59032	AABR07000325.1
1	10193440	64	56005	U7
1	10195251	61	55342	U7
1	10206594	98	47798	AABR07000332.1
1	10775639	126	59769	AABR07000356.1
1	11758230	938	47193	Olr905
1	11766992	5223	60990	AABR07000382.1
1	11834038	6543	58425	AABR07000385.2
1	11873206	260	55421	AABR07000385.1
1	11906441	152	51831	5_8S_rRNA
1	11915537	86	52007	AABR07000392.1
1	11962750	86	61685	AABR07000398.2
1	11963836	5103	47746	AABR07000398.1
1	11970092	152	53888	5_8S_rRNA
1	11974142	48	55836	AABR07000402.1
1	11975022	48	60657	AABR07000404.1
1	11982257	13530	59898	LOC100909599
1	12006598	130039	55789	AABR07000411.1
1	12006660	122185	62232	Mcc
1	12400648	9544	55660	AABR07000433.1
1	12483436	2293	60284	AABR07000436.1
1	12683024	74935	56019	AC128394.2
1	12776937	21866	59861	AC128394.3
1	12823363	2423	56940	Cited2
1	12906899	1282	55972	AC128394.1
1	12915734	45936	60021	Txlnb
1	12952553	353	60610	AABR07071848.1
1	13036909	13735	60972	Heca
1	13165572	10304	51450	Abracl
1	13212324	86023	59224	Reps1
1	13302256	39696	55142	Ect2l
1	13344901	37166	52189	AABR07000452.1
1	13351242	3073	53331	AABR07000451.1
1	13384156	11214	53347	Ccdc28a
1	13582340	84	59393	U6
1	13595295	110101	60603	Nhsl1
1	13714440	5389	53735	Hebp2
1	13723249	100	53184	AABR07000458.1
1	13838707	76887	11460	Arfgef3
1	14115148	1873	25799	RGD1560303
1	14224393	12453	11994	Perp
1	14402913	9894	49517	Tnfaip3
1	14507956	4931	58088	LOC102550206
1	14527716	21756	54373	AABR07000484.1
1	14797766	2069	12057	Olig3
1	14938230	12551	53291	AABR07000493.1
1	15062432	18475	12074	Ifngr1
1	15093599	13355	12259	Il22ra2
1	15180328	42457	12286	Il20ra
1	15247333	8595	57719	AC136053.1
1	15298526	3472	12311	Slc35d3
1	15311770	63080	12322	Pex7
1	15412603	201143	31700	Map3k5
1	15540605	134	54452	AABR07000497.1
1	15620653	127550	12701	Map7
1	15778173	106	53505	U6
1	15782477	78147	58050	Bclaf1
1	15893533	310376	13436	Pde7b
1	16389826	140	58518	AABR07000521.1
1	16449176	13931	53617	AABR07000523.1
1	16478127	123642	13969	Ahi1
1	16659442	28375	55858	Myb
1	16819170	77049	14531	Hbs1l
1	16910069	20412	14907	Aldh8a1
1	16958481	9464	52464	AABR07000533.1
1	16969943	103	58612	U6
1	16987382	2100	48762	AABR07000534.1
1	16995739	243	58363	RNaseP_nuc
1	17171631	206416	14979	Themis
1	17432106	375	55971	AABR07000544.1
1	17446417	611638	47605	Ptprk
1	17602281	22916	46617	LOC103690149
1	18086052	102	47754	AABR07000574.1
1	18353812	722	28519	AABR07000581.1
1	18491384	651885	11134	Lama2
1	18511024	671	46438	AABR07000583.1
1	18578036	106	57281	U6
1	19151129	106	58772	U6
1	19227121	149180	11245	Arhgap18
1	19521208	963	30796	AABR07000595.1
1	19638106	2223	51380	LOC102554576
1	20022793	74306	11720	L3mbtl3
1	20115995	518	33517	LOC100360791
1	20125966	29994	39955	Samd3
1	20238386	5524	50801	AABR07000629.3
1	20331886	580	49569	AABR07000629.2
1	20331976	80405	47783	Tmem200a
1	20332371	473	11855	AABR07000629.1
1	20388991	133	53931	AABR07000631.1
1	20417008	629	26462	RGD1559962
1	20735756	1549	56218	AABR07000639.1
1	20856187	21529	47821	Smlr1
1	20893995	68531	12346	Epb41l2
1	21141970	121880	13202	Akap7
1	21145360	1486	55111	AABR07000658.2
1	21165673	123	54921	AABR07000658.1
1	21405802	29086	53999	AABR07071851.2
1	21437789	27940	52696	AABR07071851.1
1	21525421	12442	13304	Arg1
1	21539765	47145	13422	Med23
1	21613148	71332	13791	Enpp3
1	21704119	690	53913	AC127189.1
1	21748261	65110	13994	Enpp1
1	21851660	3113	15036	Ccn2
1	22124495	82010	15321	Moxd1
1	22241661	40127	15670	Stx7
1	22319353	1016	26096	Taar9
1	22332090	18258	56705	Taar8b
1	22364551	1124	48934	LOC108348200
1	22402878	1124	30414	Taar8a
1	22430440	1066	39872	AC128759.1
1	22451225	1076	48072	Taar7h
1	22453877	1504	52726	AC128759.2
1	22465092	1076	48265	Taar7g
1	22479446	1076	46903	Taar7e
1	22487055	1076	45914	Taar7d
1	22507094	1076	47825	Taar7c
1	22518560	1076	46302	Taar7b
1	22528743	992	16095	Taar7a
1	22536199	1037	16089	Taar6
1	22547662	1013	39869	Taar5
1	22558787	1043	29877	Taar4
1	22569275	1028	25982	Taar3
1	22578025	3969	25951	Taar2
1	22595477	998	16073	Taar1
1	22614783	10421	16219	Vnn1
1	22649081	12296	39865	Vnn3
1	22705916	42506	16371	Slc18b1
1	22757012	1000	60376	LOC100910237
1	22758212	2158	16411	Rps12
1	23409408	200756	16627	Eya4
1	23543426	12815	48248	LOC100910446
1	23906717	2849	16700	Tcf21
1	23977688	24818	11114	Tbpl1
1	24003625	52748	11161	Slc2a12
1	24072549	965	51597	AABR07000714.1
1	24076918	4866	57722	AABR07000714.2
1	24185435	116863	11815	Sgk1
1	24333769	106	51379	U6
1	24571240	33160	59251	LOC100365542
1	24609863	778	61761	AABR07000723.1
1	24737825	2354	56881	LOC102546868
1	24825371	3114	55637	AABR07000725.1
1	24854907	3409	58047	AABR07000733.1
1	24889958	1503	52999	AABR07000738.1
1	24900858	4311	48976	LOC501467
1	24922304	2614	48796	AABR07000740.1
1	24981823	783	54246	LOC679711
1	25173242	123685	12122	Clvs2
1	25253270	1009	62105	AABR07000765.1
1	25262796	1001	62163	AABR07000765.3
1	25355309	2124	62138	AABR07000765.2
1	25403390	435955	12609	Trdn
1	27472395	106	58582	U6
1	27476375	682915	29608	Nkain2
1	27540846	102	52712	AABR07000900.1
1	27723197	116	57890	U4
1	27924825	2957	56670	AABR07000902.1
1	28301922	88915	13323	Rnf217
1	28454966	121587	21478	Tpd52l1
1	28579990	20596	21442	Hddc2
1	28595961	112	41720	5S_rRNA
1	29191192	10339	13364	Hey2
1	29225707	159492	14004	Ncoa7
1	29352780	133	45369	5S_rRNA
1	29413365	9982	14190	Hint3
1	29432152	55321	14240	Trmt11
1	29915443	5155	42944	Cenpw
1	30027001	122	60033	AABR07000968.2
1	30085337	97	50157	AABR07000968.1
1	30150303	143	56383	U4
1	30196152	1006	61372	AABR07000968.3
1	30666087	666	56484	AABR07000978.1
1	30681681	85179	11568	Rspo3
1	30863217	10591	11588	Rnf146
1	30874418	43464	11622	Echdc1
1	31000772	3874	54753	AABR07000986.1
1	31040142	15311	42309	Kiaa0408L
1	31066798	55295	12324	Soga3
1	31124825	335	61741	AABR07000989.1
1	31163819	115	54845	AABR07000990.1
1	31261370	1096	23407	LOC100910528
1	31264755	8404	23387	LOC100912599
1	31409579	16083	12581	RGD1311933
1	31436712	491	39788	AC094217.2
1	31443439	246	51400	RNaseP_nuc
1	31527646	437	39783	AC094217.1
1	31531143	4171	28357	Lrrc14b
1	31539215	6344	12775	Ccdc127
1	31545631	24970	13331	Sdha
1	31576183	15666	14485	Pdcd6
1	31603297	95032	14721	Ahrr
1	31700953	30862	39776	Exoc3
1	31734327	42743	15159	Slc9a3
1	31835000	29628	15465	Cep72
1	31870899	19879	28261	Tppp
1	31906064	30473	39743	Zdhhc11
1	31937653	1643	60926	AABR07001001.2
1	31939585	28330	15676	Brd9
1	31967978	44941	15810	Trip13
1	31978116	137	51415	AABR07001001.1
1	32051294	117	45233	5S_rRNA
1	32058044	26833	16103	Nkd2
1	32086755	54281	16372	Slc12a7
1	32191848	8629	56712	AC142421.1
1	32199810	20235	26501	Slc6a19
1	32221636	14415	16253	Slc6a18
1	32240144	4233	61518	AC142421.2
1	32251714	20762	25327	Tert
1	32281207	15983	16923	Clptm1l
1	32321580	42403	17302	Slc6a3
1	32379432	50485	17930	Lpcat1
1	32453813	22798	53180	AABR07001003.1
1	32570296	293	47971	Mrpl36
1	32573228	8553	49394	LOC679739
1	32634796	8975	12720	Irx4
1	32661251	970	60323	AABR07001006.1
1	33061881	6765	57164	AABR07001010.1
1	33271977	3563	12742	Irx2
1	33717804	2899	58487	AABR07001018.5
1	33721420	19976	55826	AABR07001018.3
1	33794803	2496	53323	AABR07001018.1
1	33804875	5989	56842	AABR07001018.4
1	33910912	5829	33609	Irx1
1	33966862	13189	54020	AABR07001018.2
1	34011456	1992	54169	AABR07001019.1
1	34269359	2561	57928	AABR07001025.1
1	35027041	330	57721	AABR07001035.1
1	35067490	131449	16812	Adamts16
1	35151638	5519	47117	AABR07001037.1
1	35280701	38481	23053	Ice1
1	35526239	794	49434	AABR07001048.1
1	35868009	1900	17095	LOC679881
1	35883694	2632	55337	AABR07001054.1
1	35922688	73848	57357	AABR07001054.2
1	36107232	5761	17150	Med10
1	36180489	103	43733	AABR07001057.1
1	36185916	40360	34075	Ube2ql1
1	36295650	24316	17254	Nsun2
1	36320461	34295	17601	Srd5a1
1	36350944	129	52644	AABR07001060.1
1	36400443	32795	17613	Tent4a
1	36589271	94579	55880	AABR07001061.1
1	36954496	2804	17678	AABR07001064.1
1	37059412	103177	58077	AABR07001068.1
1	37507276	191114	32150	Adcy2
1	37681259	106	55957	U6
1	37702041	24110	47406	RGD1308544
1	37734403	8529	27422	Fastkd3
1	37743147	30868	17826	Mtrr
1	37802592	16287	42308	LOC680200
1	37822932	64	58041	U7
1	37853553	10203	51377	AABR07001099.2
1	37865411	97	59310	U6
1	37896780	60632	49259	LOC102549842
1	37928102	3982	16462	LOC102547287
1	37988255	1752	56694	AABR07001100.1
1	38238376	83	49256	Mir29b-3
1	38238896	106	46712	Mir3556b-2
1	38428386	86	54816	AABR07001151.1
1	38483874	2460	49881	AABR07001160.1
1	38527519	11468	47145	LOC102551340
1	38582629	3934	46353	LOC501406
1	38814643	20864	54466	AABR07001207.1
1	38836865	45631	57057	AABR07001210.1
1	38895131	140502	53328	AABR07001233.1
1	39708717	1597	23081	AABR07001348.1
1	39811314	111743	16368	Ppp1r14c
1	40086470	15370	16286	Iyd
1	40232323	23384	53056	AABR07001358.1
1	40389638	130809	16011	Plekhg1
1	40529045	190346	19582	Mthfd1l
1	40672831	162	55235	U1
1	40816107	90474	19549	Akap12
1	40914171	7337	19544	Zbtb2
1	40948847	23979	19501	Rmnd1
1	40982862	23509	19489	Armt1
1	41003877	128	54876	SNORA73
1	41034308	91735	24280	Ccdc170
1	41192824	401972	19358	Esr1
1	41324538	615	57689	AABR07001379.2
1	41383910	93	55223	AABR07001379.1
1	41594112	687	55166	AABR07001382.2
1	41608418	469117	18960	AABR07001382.1
1	41926987	103	52241	U6
1	42121636	9911	18858	Myct1
