## Ideogram.js gene cache for Bos taurus
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/bos_taurus/Bos_taurus.ARS-UCD1.2.102.chr.gtf.gz
## prefix: ENSBTAG
# chr	start	length	slim_id	symbol
1	475398	118	49697	5S_rRNA
1	477378	126	47028	5S_rRNA
1	479417	118	53686	5S_rRNA
1	658163	125	46619	5S_rRNA
1	882081	120142	20035	RCAN1
1	904168	545	5540	CBX3
1	1040523	6494	1150	KCNE1
1	1099127	1018	13841	FAM243A
1	1102887	15425	11528	SMIM11A
1	1123943	7805	26260	KCNE2
1	1390803	64416	12594	MRPS6
1	1472144	106	49850	U6
1	1643628	7411	18278	ATP5PO
1	1665339	243449	21997	ITSN1
1	1666063	62	54338	bta-mir-12045
1	1727075	60	53248	bta-mir-2285bs
1	1909498	34416	8490	CRYZL1
1	1942815	11208	35175	DONSON
1	1954230	30838	8482	SON
1	1978829	63	52933	bta-mir-6501
1	1985522	26861	9188	GART
1	2028900	1142	9187	DNAJC28
1	2046733	36833	1258	TMEM50B
1	2098968	25310	12899	IFNGR2
1	2189895	28449	21819	IFNAR1
1	2242523	71619	19404	IL10RB
1	2315596	34494	15212	IFNAR2
1	2497798	2073	37547	OLIG1
1	2547063	983	49136	OLIG2
1	2749168	19409	43993	C1H21orf62
1	2786812	32825	3064	PAXBP1
1	2827691	88908	3063	SYNJ1
1	2924656	11620	3059	CFAP298
1	2978428	102100	17310	EVA1C
1	3103263	77077	12412	URB1
1	3183412	13879	23718	MRAP
1	3209824	13114	16619	MIS18A
1	3501645	127782	20762	HUNK
1	3760509	61641	18855	SCAF4
1	3824601	8805	18854	SOD1
1	4192104	166149	17839	TIAM1
1	4288068	76	44299	bta-mir-2284i
1	4315515	95	46072	bta-mir-2284x
1	4673635	879	34869	KRTAP11-1
1	4736889	263	46804	KRTAP7-1
1	4759050	1119	15812	KRTAP8-1
1	5108146	96	45424	U6
1	5506542	410	52457	KRTAP15-1
1	5510180	844	39602	KRTAP13-1
1	5627779	605	52202	KRTAP27-1
1	5689903	806	46384	KRTAP24-1
1	5770225	1993	39820	CLDN8
1	5830120	677	39255	CLDN17
1	6112447	465348	34854	GRIK1
1	6778741	122	42595	U6
1	6815185	42873	4139	BACH1
1	7005502	48329	7444	MAP3K7CL
1	7114205	13745	14233	CCT8
1	7129414	25857	20122	USP16
1	7167841	2989	20121	RWDD2B
1	7183913	56909	201	LTN1
1	7259998	20972	1412	N6AMT1
1	7430160	106	45479	U6
1	8918075	311	52349	H4C13
1	8960274	311	52332	H4C7
1	9440973	50351	648	ADAMTS5
1	9583345	8926	706	ADAMTS1
1	9689994	61	45024	U6
1	9868852	142844	50914	CYYR1
1	10180008	106	50144	U6
1	10231296	312688	17753	APP
1	10488768	106	42557	U6
1	10656634	35060	19043	GABPA
1	10690694	8266	605	ATP5PF
1	10702387	85547	603	JAM2
1	10823242	26098	19542	MRPL39
1	10848649	64	36404	bta-mir-155
1	10893790	103	42261	U6
1	11236789	106	43064	U6
1	15147591	334	45128	7SK
1	15324270	232297	3301	NCAM2
1	15954340	119	36841	5S_rRNA
1	17905595	105	47337	U6
1	18108726	84	44598	5S_rRNA
1	18336940	106	43929	5S_rRNA
1	18567977	142998	597	TMPRSS15
1	18712589	24271	588	CHODL
1	19227894	28819	1395	C1H21orf91
1	19310021	106	55283	U6
1	19417655	19515	18704	BTG3
1	19437777	64803	4869	CXADR
1	19472026	286	43726	7SK
1	20385501	84	29827	bta-mir-125b-2
1	20435338	89	29768	bta-mir-99a
1	21012981	105	44220	U6
1	21167188	161002	19314	USP25
1	22189815	3470	47293	NRIP1
1	22617489	58140	2623	SAMSN1
1	22783876	10175	12908	HSPA13
1	22948185	19051	34347	RBM11
1	22966535	23345	38512	LIPI
1	24256165	118	50084	5S_rRNA
1	24870588	194743	10462	ROBO2
1	25146042	118	28813	5S_rRNA
1	25298576	144	43751	U2
1	26116520	149056	9851	ROBO1
1	29107326	311740	36262	GBE1
1	31247387	90	45043	U4
1	31427541	102	43669	U6
1	33714841	380403	9219	CADM2
1	34476824	60	53095	bta-mir-2285cm
1	35036368	87059	26156	VGLL3
1	35381297	33901	7939	CHMP2B
1	35417574	18055	9128	POU1F1
1	36006380	1192	39151	HTR1F
1	36052605	106	46393	U4
1	36058732	4992	46959	CGGBP1
1	36063528	83618	23675	ZNF654
1	36156437	6136	7970	C1H3orf38
1	36419868	25	50305	5S_rRNA
1	36488119	2177	45590	CSNKA2IP
1	37110684	408596	6811	EPHA3
1	38203313	63850	23652	PROS1
1	38275588	76966	5155	ARL13B
1	38315772	15321	5162	STX19
1	38360629	60224	15728	NSUN3
1	40865156	298	45781	Metazoa_SRP
1	41409771	584259	44111	EPHA6
1	41580371	105	42804	U6
1	41900214	106	48531	U6
1	42010599	39351	10091	ARL6
1	42070368	125713	47147	CRYBG3
1	42194819	35987	15546	RIOX2
1	42241399	45591	1416	GABRR3
1	42661782	14633	50543	OR5K4
1	42693078	102	44603	U6
1	42822730	7460	20996	CLDND1
1	42839325	1076	20997	GPR15
1	42852845	162	28582	U1
1	42888156	13259	4124	CPOX
1	43047976	63627	4471	ST3GAL6
1	43112237	83075	14889	DCBLD2
1	43902264	171432	13662	COL8A1
1	44086074	395268	13663	CMSS1
1	44096867	305442	13664	FILIP1L
1	44483988	27486	13667	TMEM30C
1	44554751	56341	15010	TBC1D23
1	44617553	19895	4833	NIT2
1	44650783	37166	14302	TOMM70
1	44688566	40552	34442	LNP1
1	44728944	111	45333	U6
1	44948235	113103	4459	TMEM45A
1	45082065	63261	12140	ADGRG7
1	45155599	32755	16363	TFG
1	45743519	72579	15662	IMPG2
1	45816823	171411	16932	SENP7
1	45988289	4225	24027	TRMT10C
1	46001965	14891	15069	PCNP
