## Ideogram.js gene cache for Macaca fascicularis
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/macaca_fascicularis/Macaca_fascicularis.Macaca_fascicularis_5.0.102.chr.gtf.gz
## prefix: ENSMFAG
# chr	start	length	slim_id	symbol
1	43401	19879	44637	PGBD2
1	49449	102	11984	U6
1	106178	9253	39056	ZNF692
1	116761	1358	30010	ZNF672
1	136587	15676	2737	SH3BP5L
1	200353	19055	508	LYPD8
1	373906	918	39185	OR2T11
1	598439	983	18318	OR9G4
1	1004516	935	21769	OR2M4
1	1133178	101	15367	Y_RNA
1	1146448	101	9972	Y_RNA
1	1181635	101	21763	Y_RNA
1	1185753	938	10782	OR2L2
1	1262202	101	10658	Y_RNA
1	1314434	979	39872	OR2AJ1
1	1400561	944	20196	OR2W3
1	1411375	22986	32683	TRIM58
1	1594570	923	26603	OR13G1
1	1699072	52617	41250	GCSAML
1	1818551	956	29820	OR2B11
1	1821352	40235	38424	NLRP3
1	1955262	31488	35433	ZNF496
1	1990440	108	11849	Y_RNA
1	2068655	91	10544	5S_rRNA
1	2103065	41860	41032	ZNF124
1	2180160	6110	3888	ZNF669
1	2214425	25866	37311	ZNF670
1	2257739	56948	3501	ZNF695
1	2355141	98560	45763	AHCTF1
1	2533593	53299	44986	SCCPDH
1	2654784	118082	416	CNST
1	2772897	31335	959	TFB2M
1	2837173	768476	45761	SMYD3
1	3158147	104	5001	U6
1	3669718	564280	23144	KIF26B
1	4256104	163	8832	U1
1	4267731	159445	39610	EFCAB2
1	4343726	104	5303	U6
1	4365581	106	15148	U6
1	4469643	99	34820	U6
1	4481176	330	11293	7SK
1	4560857	13328	37308	HNRNPU
1	4584094	7550	39162	COX20
1	4733707	63139	32549	DESI2
1	4809687	177686	33487	CATSPERE
1	4996959	43976	32956	ADSS2
1	5059771	47842	37345	C1orf100
1	5351908	262	20841	Metazoa_SRP
1	5398826	7944	33326	ZBTB18
1	5621624	352928	33261	AKT3
1	5974206	254847	45247	SDCCAG8
1	6229652	129144	2285	CEP170
1	6924114	418973	38798	PLD5
1	7242560	142	9088	7SK
1	7298790	108	5115	5S_rRNA
1	7410340	105	37418	U6
1	7548620	45654	23098	EXO1
1	7642923	161147	32673	WDR64
1	7815949	47964	42077	OPN3
1	7865494	60080	44420	KMO
1	7937258	22424	45537	FH
1	8098223	567500	31055	RGS7
1	8951502	506	30833	GREM2
1	8970128	404609	367	FMN2
1	9310863	121	16854	Y_RNA
1	11583300	8128	954	ZP4
1	11653132	572399	39417	RYR2
1	12371058	282	12490	7SK
1	12572384	110436	31925	MTR
1	12714656	77276	41700	ACTN2
1	12880106	57608	44672	HEATR1
1	12934303	32335	32856	LGALS8
1	12998932	92547	38481	EDARADD
1	13180161	69077	45389	ERO1B
1	13194749	189	10032	U2
1	13256156	76672	34812	GPR137B
1	13414334	95725	26117	NID1
1	13422987	92	35064	Y_RNA
1	13563603	101	42726	U6
1	13610929	49	19877	U5
1	13644521	161463	44431	LYST
1	13880042	38481	40832	GNG4
1	13970803	62969	1068	B3GALNT2
1	14137010	15935	33173	GGPS1
1	14153601	173107	44016	ARID4B
1	14340097	26525	38522	RBM34
1	14369549	18970	3478	TOMM20
1	14602088	302	8004	Metazoa_SRP
1	14713858	101	10337	Y_RNA
1	14949565	3221	41239	IRF2BP2
1	14965578	128	16193	U8
1	15081542	84408	41068	TARBP1
1	15173486	10754	34136	COA6
1	15227361	451947	45604	SLC35F3
1	15897456	53207	41435	KCNK1
1	16140869	153	5373	U4
1	16201957	54997	14791	MAP3K21
1	16292543	311348	34561	PCNX2
1	16602317	35302	37305	NTPCR
1	16752065	161	26063	U1
1	16774380	3156	35487	MAP10
1	16875578	104	4310	U6
1	16945187	230679	39676	SIPA1L2
1	17340393	291	10045	Metazoa_SRP
1	17519847	401350	42435	DISC1
1	17874682	98	36483	U6
