#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density
1	q	na	na	na	0	27120000	na	na
1	p	na	na	na	27120001	29070452	na	na
2	p	na	na	na	0	2750525	na	na
2	q	na	na	na	2750526	29511734	na	na
3	q	na	na	na	0	18743998	na	na
3	p	na	na	na	18743999	35020413	na	na
4	p	na	na	na	0	12472018	na	na
4	q	na	na	na	12472019	37105743	na	na
5	p	na	na	na	0	14191407	na	na
5	q	na	na	na	14191408	41853232	na	na
6	q	na	na	na	0	20087086	na	na
6	p	na	na	na	20087087	37593364	na	na
7	q	na	na	na	0	18950865	na	na
7	p	na	na	na	18950866	35028021	na	na
8	q	na	na	na	0	28564387	na	na
8	p	na	na	na	28564388	44889171	na	na
9	p	na	na	na	0	20800529	na	na
9	q	na	na	na	20800530	41306725	na	na
10	p	na	na	na	0	4748300	na	na
10	q	na	na	na	4748301	37674811	na	na
11	p	na	na	na	0	14119999	na	na
11	q	na	na	na	14120000	27954350	na	na
