## Ideogram.js gene cache for Mus musculus
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/mus_musculus/Mus_musculus.GRCm38.102.chr.gtf.gz
## prefix: ENSMUSG
# chr	start	length	slim_id	symbol
6	113067428	9905	86429	Gt(ROSA)26Sor
11	69580359	11514	59552	Trp53
11	59541568	25388	32691	Nlrp3
7	135689784	26577	31004	Mki67
3	34650405	2056	74637	Sox2
8	46617291	22398	31628	Casp3
18	34220924	101628	5871	Apc
6	145216699	33540	30265	Kras
2	75675513	29128	15839	Nfe2l2
8	106603351	66895	303	Cdh1
12	83688152	47047	19969	Psen1
9	7931999	72597	53110	Yap1
4	148448611	109072	28991	Mtor
12	73901375	46155	21109	Hif1a
2	129364570	6569	27398	Il1b
11	112782224	5536	567	Sox9
9	119901616	168263	52336	Cx3cr1
9	118478212	7920	32446	Eomes
19	32757497	68663	13663	Pten
16	84949685	224081	22892	App
9	120929216	31291	6932	Ctnnb1
10	127329882	12092	25407	Gli1
5	30013114	6867	25746	Il6
10	117277331	4990	69516	Lyz2
11	106654217	96411	20717	Pecam1
4	66827584	102700	39005	Tlr4
9	119335934	5477	32508	Myd88
17	46016993	15376	23951	Vegfa
12	107910403	93199	48251	Bcl11b
10	63319005	62699	20063	Sirt1
6	85187438	17024	33726	Emx1
11	102887336	13576	20932	Gfap
5	51454250	113476	29167	Ppargc1a
18	35733679	6875	24349	Sting1
7	51622006	49113	30500	Slc17a6
4	15881264	26800	28222	Calb1
9	5298508	8782	25888	Casp1
17	29090976	9751	23067	Cdkn1a
5	75152292	45923	29231	Pdgfra
5	28456815	10441	2633	Shh
11	100885098	54442	4040	Stat3
8	111311797	26380	12519	Mlkl
11	73234292	26950	5952	Trpv1
6	55677822	3441	37984	Neurod6
11	108920349	30434	142	Axin2
17	44495987	318810	39153	Runx2
5	149046702	137787	66551	Hmgb1
4	101717404	97948	57722	Lepr
X	74026592	108771	31393	Mecp2
2	105668900	28464	27168	Pax6
6	115360951	129448	440	Pparg
15	78191114	15286	5716	Pvalb
19	5637483	10647	24927	Rela
9	21616169	88061	32187	Smarca4
6	60731575	98280	25889	Snca
15	79154908	10332	33006	Sox10
2	61802930	11184	35033	Tbr1
7	25687002	18075	2603	Tgfb1
3	83836272	5495	27995	Tlr2
11	118489762	421835	25576	Rbfox3
16	16312230	46729	22789	Dnm1l
1	56793981	184669	38331	Satb2
12	112653821	21063	1729	Akt1
7	19696109	3079	2985	Apoe
4	33924593	24238	44288	Cnr1
10	24595442	3241	19997	Ccn2
1	118834132	219487	48402	Gli2
9	44334694	1383	49932	H2ax
8	75093621	6968	5413	Hmox1
5	75574916	81806	5672	Kit
3	131110471	113885	27985	Lef1
3	88480147	29809	28063	Lmna
11	104231390	100700	18411	Mapt
17	35506018	4754	24406	Pou5f1
4	86854660	2752	28495	Rps6
1	52119440	42425	26104	Stat1
7	65296165	231616	30516	Tjp1
17	24595816	36814	2496	Tsc2
8	123411424	10591	62380	Tubb3
16	91225457	3220	39830	Olig2
11	101285952	16334	35086	Becn1
16	62793685	53355	22911	Arl13b
X	167304929	25629	44583	Tlr7
19	34241090	14500	35783	Acta2
12	35497974	37064	19256	Ahr
6	64729125	2120	73043	Atoh1
2	109674700	52307	48482	Bdnf
14	46383520	7149	21835	Bmp4
7	126408450	6439	30724	Cd19
4	89274471	20182	44303	Cdkn2a
13	73536747	41925	21609	Slc6a3
11	70016942	30580	20886	Dlg4
X	82948870	2257271	45103	Dmd
9	20907209	52679	4099	Dnmt1
8	27260329	16345	31490	Eif4ebp1
10	115450311	137469	20140	Lgr5
10	56377330	25183	50953	Gja1
12	49382660	4201	20950	Foxg1
8	24584136	12873	31551	Ido1
11	53631324	3378	20383	Il13
