# Derived from Homo_sapiens.GRCh38.102.chr.gtf.gz in http://ftp.ensembl.org/pub/release-102/gtf/homo_sapiens/
# Chromosome	Start	Name
17	7571719	TP53
6	31543343	TNF
12	125396190	UBC
19	45409005	APOE
7	55086724	EGFR
6	43737945	VEGFA
7	22766760	IL6
19	41836227	TGFB1
1	11845786	MTHFR
6	152128813	ESR1
6	32546546	HLA-DRB1
4	103422485	NFKB1
1	206940947	IL10
17	61554421	ACE
17	41196311	BRCA1
2	113587336	IL1B
14	105235686	AKT1
21	27252860	APP
14	62164339	HIF1A
20	44637546	MMP9
1	110230417	GSTM1
12	6898637	CD4
17	37844336	ERBB2
1	186640943	PTGS2
17	28521336	SLC6A4
6	31321642	HLA-B
9	21967750	CDKN2A
X	66763873	AR
3	41240941	CTNNB1
7	87133178	ABCB1
4	74606222	CXCL8
3	12329348	PPARG
7	150688143	NOS3
22	22113946	MAPK1
3	186560462	ADIPOQ
9	120466452	TLR4
17	40465342	STAT3
12	68548549	IFNG
1	159682078	CRP
18	60790578	BCL2
22	19929262	COMT
12	48235319	VDR
2	136871918	CXCR4
10	89623194	PTEN
6	32627240	HLA-DQB1
3	46411632	CCR5
16	68771192	CDH1
12	25357722	KRAS
12	102789644	IGF1
6	29910246	HLA-A
13	32889616	BRCA2
11	67351065	GSTP1
11	27676441	BDNF
7	117120016	CFTR
16	55515468	MMP2
12	69202796	MDM2
11	46740715	F2
6	36646455	CDKN1A
8	128748314	MYC
7	140433812	BRAF
1	169481191	F5
7	127881330	LEP
11	69455872	CCND1
17	43971747	MAPT
4	90645249	SNCA
9	4985244	JAK2
7	100770369	SERPINE1
16	30128157	MAPK3
5	1253286	TERT
20	35973087	SRC
6	35995453	MAPK14
17	32582295	CCL2
1	11166587	MTOR
4	154605403	TLR2
10	90750315	FAS
11	65421066	RELA
10	33189245	ITGB1
4	185548849	CASP3
19	10381516	ICAM1
5	132009677	IL4
19	44047463	XRCC1
1	59246462	JUN
11	108093558	ATM
11	113280316	DRD2
13	48877882	RB1
17	45331207	ITGB3
10	44865600	CXCL12
17	76210276	BIRC5
1	230838271	AGT
15	75011882	CYP1A1
14	64693750	ESR2
7	94927668	PON1
2	113875469	IL1RN
21	33031934	SOD1
2	204732510	CTLA4
5	148206155	ADRB2
12	53773978	SP1
22	42522500	CYP2D6
22	41488613	EP300
3	119540801	GSK3B
6	31236525	HLA-C
3	178866310	PIK3CA
5	142657495	NR3C1
6	26087508	HFE
1	32757707	HDAC1
2	113531491	IL1A
19	49458116	BAX
7	6414125	RAC1
4	55524094	KIT
12	12870203	CDKN1B
3	37034840	MLH1
11	35160416	CD44
10	49514681	MAPK8
3	148415657	AGTR1
16	50731049	NOD2
14	102547074	HSP90AA1
9	139388884	NOTCH1
11	112013973	IL18
10	96698414	CYP2C9
11	116706466	APOA1
11	102660640	MMP1
6	32605182	HLA-DQA1
1	11917520	NPPB
10	96522437	CYP2C19
22	35777059	HMOX1
1	226548391	PARP1
15	99191767	IGF1R
17	64298925	PRKCA
12	6058039	VWF
3	49396568	RHOA
19	45854648	ERCC2
3	10327433	GHRL
4	88896801	SPP1
7	116312443	MET
4	123372625	IL2
2	202098165	CASP8
16	3775055	CREBBP
10	43572516	RET
4	55944425	KDR
6	52051184	IL17A
17	73314156	GRB2
9	133710641	ABL1
5	112073555	APC
7	116165062	CAV1
11	2181008	INS
2	47630205	MSH2
20	4666796	PRNP
5	1392904	SLC6A3
7	99354582	CYP3A4
6	12290528	EDN1
17	26083791	NOS2
2	21224300	APOB
6	160100095	SOD2
11	5246695	HBB
10	62538088	CDK1
3	172223297	TNFSF10
10	54525139	MBL2
8	141668480	PTK2
2	191833761	STAT1
19	11200037	LDLR
13	20761603	GJB2
15	51500253	CYP19A1
1	196621007	CFH
8	19796581	LPL
2	203070902	SUMO1
X	49106896	FOXP3
11	532241	HRAS
10	69644938	SIRT1
6	29794755	HLA-G
14	73603142	PSEN1
8	18248754	NAT2
12	56360552	CDK2
12	40618812	LRRK2
13	47405676	HTR2A
20	5095598	PCNA
5	140011312	CD14
20	463337	CSNK2A1
3	10183318	VHL
2	178095030	NFE2L2
4	123747862	FGF2
11	119076985	CBL
7	81328323	HGF
5	170814707	NPM1
3	53195222	PRKCD
3	189349215	TP63
11	100900354	PGR
11	102706527	MMP3
9	107543283	ABCA1
17	48261456	COL1A1
11	637304	DRD4
1	172628147	FASLG
10	135340866	CYP2E1
17	34198495	CCL5
15	67418053	SMAD3
20	32263291	E2F1
12	112856701	PTPN11
7	45951843	IGFBP3
6	32148744	AGER
20	30252254	BCL2L1
1	155158299	MUC1
6	161768589	PARK2
1	156095907	LMNA
7	99245811	CYP3A5
4	110834039	EGF
4	89011415	ABCG2
12	6437922	TNFRSF1A
16	56995834	CETP
5	132387661	HSPA4
6	31540070	LTA
2	234668918	UGT1A1
18	48556582	SMAD4
5	67588395	PIK3R1
2	216225162	FN1
5	131993864	IL13
19	7112265	INSR
10	114710008	TCF7L2
X	154064063	F8
1	3607235	TP73
13	28959687	FLT1
1	65886334	LEPR
21	36160097	RUNX1
11	2150341	IGF2
20	44746892	CD40
14	35870715	NFKBIA
22	39473009	APOBEC3G
13	31032052	HMGB1
19	14202506	PRKACA
X	47441689	TIMP1
13	28577410	FLT3
19	45910590	ERCC1
6	111981534	FYN
18	657603	TYMS
17	56347216	MPO
3	52255095	TLR9
3	9791627	OGG1
10	75670858	PLAU
16	226649	HBA1
10	131265447	MGMT
16	53737874	FTO
1	94994731	F3
8	119935795	TNFRSF11B
7	150642043	KCNH2
11	32409321	WT1
22	24236564	MIF
4	3076407	HTT
12	112204690	ALDH2
2	227596032	IRS1
10	129894924	MKI67
16	69743303	NQO1
6	114257319	HDAC2
2	187464931	ITGAV
X	43514154	MAOA
9	127997126	HSPA5
10	104590287	CYP17A1
6	31783290	HSPA1A
15	40987377	RAD51
1	22379119	CDC42
3	12625099	RAF1
22	29083730	CHEK2
2	208394615	CREB1
16	23690092	PLK1
15	74287013	PML
X	153295685	MECP2
14	94843083	SERPINA1
14	20923289	APEX1
