# Derived from Mus_musculus.GRCm38.102.chr.gtf.gz in http://ftp.ensembl.org/pub/release-102/gtf/mus_musculus/
# Chromosome	Start	Name
1	3073253	4933401J01Rik
1	3205901	Xkr4
1	3252757	Gm18956
1	3365731	Gm37180
1	3375556	Gm37363
1	3464977	Gm37686
1	3466587	Gm1992
1	3512451	Gm37329
1	3531795	Gm7341
1	3592892	Gm38148
1	3647309	Gm19938
1	3680155	Gm10568
1	3752010	Gm38385
1	3905739	Gm37381
1	3999557	Rp1
1	4256234	Gm6101
1	4363346	Gm37483
1	4490931	Sox17
1	4496551	Gm37587
1	4522905	Gm7357
1	4534837	Gm38076
1	4583129	Gm37323
1	4610471	Gm7369
1	4687934	Gm6085
1	4692219	Gm6119
1	4735046	Gm2053
1	4771131	Gm6123
1	4773206	Mrpl15
1	4778063	Gm37144
1	4807788	Lypla1
1	4807892	Gm37988
1	4857814	Tcea1
1	4880049	Gm6104
1	4905751	Gm37277
1	4909576	Rgs20
1	4927028	Gm17100
1	4938576	Gm37079
1	4970857	Gm16041
1	5063060	Gm17101
1	5070018	Atp6v1h
1	5276106	Gm7182
1	5307739	Gm37567
1	5403547	Gm38264
1	5588466	Oprk1
1	5617837	Gm36965
1	5842874	Gm37429
1	5913707	Npbwr1
1	6048963	Gm19214
1	6206197	Rb1cc1
1	6209866	4732440D04Rik
1	6359218	Alkal1
1	6380394	Gm2147
1	6382634	Gm7417
1	6429655	Gm19026
1	6487231	St18
1	6861237	Gm42492
1	6910560	Gm7449
1	6916559	Gm37108
1	6929759	Gm37275
1	6998217	Gm37225
1	7013762	Gm37489
1	7035915	Gm5694
1	7088920	Pcmtd1
1	7136199	Gm26983
1	7148110	Gm38372
1	7177739	Gm9826
1	7189742	Nras-ps2
1	7315451	Gm19002
1	7349406	Gm26901
1	7410679	Gm18984
1	7497968	Gm30414
1	7591646	Gm37791
1	7597379	Gm7470
1	7664081	Rps2-ps2
1	7728861	Gm38216
1	8361475	Sntg1
1	8450960	Gm38024
1	8468426	Gm16284
1	8527780	Gm38259
1	8643696	Gm37005
1	8791923	Gm15452
1	8815842	Gm36964
1	8855928	Gm6152
1	8856763	Gm7445
1	8962996	Gm7493
1	9191067	Gm37629
1	9258617	Gm38008
1	9286922	Gm37143
1	9396773	Gm6187
1	9439741	Gm18299
1	9450579	Gm7512
1	9499338	Gm18300
1	9545408	Rrs1
1	9547948	Adhfe1
1	9560832	2610203C22Rik
1	9574548	Gm6161
1	9601199	Vxn
1	9639255	Gm29520
1	9667415	Mybl1
1	9718622	Vcpip1
1	9747648	1700034P13Rik
1	9798107	Sgk3
1	9802197	Gm6195
1	9908638	Mcmdc2
1	9941959	Snhg6
1	9960163	Tcf24
1	9967314	E330040D14Rik
1	9968624	Ppp1r42
1	9982387	Gm15818
1	10024601	Cops5
1	10037987	Cspp1
1	10057025	1700047N06Rik
1	10137571	Arfgef1
1	10197081	Gm37569
1	10324720	Cpa6
1	10449245	Gm38005
1	10554098	Gm15604
1	10695123	Gm15603
1	10782456	Gm37133
1	10805281	Gm5522
1	10868688	Gm28659
1	10993465	Prex2
1	11223566	Gm28686
1	11363926	Gm37410
1	11414105	A830018L16Rik
1	11416918	Gm38178
1	11608139	Gm29273
1	11704207	Gm38069
1	12120960	Gm7560
1	12565577	Gm2383
1	12655867	Gm6216
1	12667563	Gm17644
1	12670324	Gm29663
1	12692277	Sulf1
1	12866549	Slco5a1
1	13059401	Gm37162
1	13062025	Gm5250
1	13068838	Gm29283
1	13113457	Prdm14
1	13139105	Ncoa2
1	13177462	Gm38376
1	13234809	Gm37409
1	13289812	Gm38223
1	13297036	Gm37702
1	13343563	Gm38120
1	13354483	Gm38380
1	13376070	Gm29570
1	13407012	Gm7593
1	13564698	Tram1
1	13623330	Lactb2
1	13641483	Gm38319
1	13668771	Xkr9
1	13785883	Gm5523
1	13846871	Gm36947
1	14109215	Gm37400
1	14168954	Eya1
1	14255552	Gm37444
1	14752937	Gm9947
1	14753346	Msc
1	14788645	Gm37412
1	14839869	Smt3h2-ps4
1	14865072	Rpl5-ps1
1	14872648	Trpa1
1	15268802	Gm10566
1	15287254	Kcnb2
1	15364302	Gm38116
1	15556249	Gm37138
1	15760122	Gm6060
1	15760761	Gm28669
1	15805646	Terf1
1	15853331	Gm37509
1	15853862	Sbspon
1	16053335	Gm7634
1	16065979	4930444P10Rik
1	16101295	Rpl7
1	16105774	Rdh10
1	16208197	Gm38249
1	16228506	Gm28095
1	16228674	Stau2
1	16253592	Gm7568
1	16540790	Ube2w
1	16618560	Gm38342
1	16641725	Eloc
1	16657552	D030040B21Rik
1	16662980	Gm7654
1	16665207	Tmem70
1	16688051	Ly96
1	16758205	Gm29649
1	16768279	Gm5828
1	16898185	Gm28376
1	16930970	4921511E07Rik
1	16964560	Jph1
1	17124747	Gm28783
1	17145362	Gdap1
1	17168403	Gm28784
1	17250114	Gm28785
1	17394958	Gm5251
1	17397412	Rbm6-ps1
1	17429043	Gm6075
1	17601901	Pi15
1	17615084	Gm28154
1	17676027	Gm16070
1	17727045	Crispld1
1	17741915	Gm28153
1	17947041	Gm7690
1	17993010	Gm18775
1	17993813	Gm17969
1	17994462	Gm28756
1	18005961	Gm28755
1	18048100	Gm45784
1	18115191	Crisp4
1	18210053	Defb44-ps
1	18236473	Defb18
1	18250980	Defb41
1	18262395	Gm17837
1	18708428	Gm5252
1	19037266	Gm28343
1	19062857	Gm28344
1	19063300	Gm15825
1	19103022	Tfap2d
1	19153422	Gm10075
1	19208914	Tfap2b
1	19242725	Gm28340
1	19320226	Gm28341
1	19330939	Gm4849
1	19614269	Gm38382
1	20057779	Pkhd1
1	20062070	Gm37315
1	20356452	4930486I03Rik
1	20444258	Gm15795
1	20669882	Gm28653
1	20730905	Il17a
1	20777146	Il17f
1	20802968	Mcm3
1	20821331	Gm20587
1	20836661	Gm28065
1	20888650	6720483E21Rik
1	20890606	Paqr8
1	20945711	Gm28064
1	20951626	Efhc1
