## Ideogram.js gene cache for Macaca mulatta
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/macaca_mulatta/Macaca_mulatta.Mmul_10.102.chr.gtf.gz
## prefix: ENSMMUG
# chr	start	length	slim_id	symbol
1	14267	102	36181	U6
1	71582	11596	634	ZNF692
1	81258	10421	37875	ZNF672
1	102662	15173	632	SH3BP5L
1	170939	14748	57389	LYPD8
1	326171	953	31199	OR2T27
1	385890	103	25700	Y_RNA
1	386873	938	49101	OR2T10
1	449228	935	55842	OR14I1
1	529177	917	62331	OR9G1
1	645437	1109	5566	OR2T1
1	661164	926	64874	OR2T6
1	769522	935	38524	OR2M4
1	890811	101	62908	Y_RNA
1	895998	938	57748	OR2L2
1	904003	101	51218	Y_RNA
1	907326	938	50041	OR2L5
1	938980	101	54556	Y_RNA
1	1014914	101	59751	Y_RNA
1	1146217	944	38159	OR2W3
1	1160011	20457	5570	TRIM58
1	1198069	25216	6214	OR11L1
1	1229179	875	49478	OR9H1P
1	1251363	959	62849	OR1C1
1	1278606	944	64145	OR14K1
1	1290883	2000	59455	OR14A2
1	1302679	926	16175	OR6F1
1	1334218	923	16176	OR13G1
1	1441551	51939	5955	GCSAML
1	1559934	953	5949	OR2B11
1	1562783	32506	5946	NLRP3
1	1683011	29627	19585	ZNF496
1	1718542	108	64912	Y_RNA
1	1827888	23853	4566	ZNF124
1	1935519	28809	50290	ZNF670
1	2064653	116	61999	Metazoa_SRP
1	2071570	96640	16408	AHCTF1
1	2273725	54572	22208	SCCPDH
1	2395778	114558	11380	CNST
1	2510498	29683	55490	TFB2M
1	2568685	755922	5777	SMYD3
1	2881222	106	24556	U6
1	3386414	552612	17324	KIF26B
1	3600685	147	52401	Metazoa_SRP
1	3605622	147	59892	Metazoa_SRP
1	3960448	163	27317	U1
1	3964561	162733	11424	EFCAB2
1	4039816	149	57396	Metazoa_SRP
1	4047192	103	36930	U6
1	4061811	57	60683	mml-mir-7180
1	4068530	106	51140	U6
1	4143826	99	36090	U6
1	4146978	147	50136	Metazoa_SRP
1	4234745	17782	21098	HNRNPU
1	4254577	8701	31175	COX20
1	4401250	62798	22310	DESI2
1	4478525	174609	21	CATSPERE
1	4663495	43661	16	ADSS2
1	4725778	28922	15	C1H1orf100
1	4800035	311	59503	Metazoa_SRP
1	4867732	116	53405	Metazoa_SRP
1	5015441	237	39543	Metazoa_SRP
1	5061719	6181	15664	ZBTB18
1	5268539	357957	19995	AKT3
1	5497255	116	64143	Metazoa_SRP
1	5629548	249789	19994	SDCCAG8
1	5751092	147	51554	Metazoa_SRP
1	5880084	129176	19914	CEP170
1	6143274	116	61742	Metazoa_SRP
1	6360309	147	53960	Metazoa_SRP
1	6565019	415505	4265	PLD5
1	7049814	105	35346	U6
1	7119481	1295	60345	BECN2
1	7179725	44918	8761	EXO1
1	7274107	156280	8763	WDR64
1	7442726	46742	5669	OPN3
1	7492090	58554	5668	KMO
1	7562328	42871	5667	FH
1	7723305	565474	10729	RGS7
1	8062152	301	50628	Metazoa_SRP
1	8284245	146	54679	Metazoa_SRP
1	8440878	124113	64824	GREM2
1	8580597	397998	59650	FMN2
1	8913862	121	26240	Y_RNA
1	8937356	116	61518	Metazoa_SRP
1	9168318	275398	21442	CHRM3
1	9212628	147	60259	Metazoa_SRP
1	11168446	7926	2105	ZP4
1	11228940	782947	1060	RYR2
1	12083326	116	53077	Metazoa_SRP
1	12143227	106094	10073	MTR
1	12281245	74803	20471	ACTN2
1	12443997	56679	15135	HEATR1
1	12499522	24353	15132	LGALS8
1	12560087	173523	21238	EDARADD
1	12733407	65988	44139	ERO1B
1	12747983	189	34442	U2
1	12809297	70858	14263	GPR137B
1	12965399	95249	12716	NID1
1	12997744	148	55488	Metazoa_SRP
1	13120168	99	64367	U6
1	13151135	147	54102	Metazoa_SRP
1	13155770	147	57171	Metazoa_SRP
1	13173597	49	35602	U5
1	13193679	172892	12729	LYST
1	13380522	91845	53807	GNG4
1	13520536	148	51579	Metazoa_SRP
1	13521543	61489	8427	B3GALNT2
1	13571818	147	54748	Metazoa_SRP
1	13581792	81846	8426	TBCE
1	13680061	19719	7145	GGPS1
1	13699581	167225	7141	ARID4B
1	13747244	116	55692	Metazoa_SRP
1	13870713	26678	39424	RBM34
1	13899737	18748	58824	TOMM20
1	13902656	147	58535	Metazoa_SRP
1	13941900	148	55258	Metazoa_SRP
1	13976868	75	59310	Y_RNA
1	14127731	303	45131	Metazoa_SRP
1	14429498	4545	49832	IRF2BP2
1	14445282	128	26044	U8
1	14560879	83548	21703	TARBP1
1	14652155	10422	21702	COA6
1	14705215	407420	6226	SLC35F3
1	14724337	146	63372	Metazoa_SRP
1	15334490	53380	22429	KCNK1
1	15573588	173	35050	U4
1	15634805	54494	9226	MAP3K21
1	15720660	309435	12615	PCNX2
1	15859261	147	58848	Metazoa_SRP
1	16030412	34154	63981	NTPCR
1	16179069	163	62965	U1
1	16313383	104	35247	U6
1	16381653	230943	12068	SIPA1L2
1	16519332	157	50163	Metazoa_SRP
1	16777608	291	44246	Metazoa_SRP
1	16955796	397654	13119	DISC1
1	17072302	116	65000	Metazoa_SRP
1	17306304	110	63252	U5
1	17307398	100	35717	U6
1	17345436	158	52451	Metazoa_SRP
1	17387717	66533	16204	TSNAX
1	17565743	54789	53396	EGLN1
1	17633547	14883	5244	SPRTN
1	17648985	2596	5243	EXOC8
1	17665991	116	54436	Metazoa_SRP
1	17707251	34620	5801	GNPAT
1	17741902	18613	5803	C1H1orf131
1	17767101	60634	17449	TRIM67
1	17897116	147	51998	Metazoa_SRP
1	17952191	18746	8191	FAM89A
1	17988403	21348	5892	ARV1
1	18009968	102049	5888	TTC13
1	18096377	291	38609	Metazoa_SRP
1	18113468	40124	5886	C1H1orf198
1	18188503	52877	5882	CAPN9
1	18234632	62127	5881	AGT
1	18305302	51932	5877	COG2
1	18580299	104087	2287	PGBD5
1	18724643	218050	2285	GALNT2
1	18948039	58	37337	U7
1	19343044	34693	9509	URB2
1	19378058	35198	9508	TAF5L
1	19442427	41766	22094	ABCB10
1	19465870	147	52224	Metazoa_SRP
1	19466591	151	27472	U4
1	19494417	69489	22091	NUP133
1	19571568	2834	22086	ACTA1
1	19636994	147	64219	Metazoa_SRP
1	19662479	22265	17722	CCSAP
1	19700563	34206	17720	RAB4A
1	20160975	147	61633	Metazoa_SRP
1	20230674	8847	57995	RHOU
1	20315915	118	50169	5S_rRNA
1	20318831	118	49798	5S_rRNA
1	20323377	118	55360	5S_rRNA
1	20326275	118	51472	5S_rRNA
1	20330788	118	49634	5S_rRNA
1	20333586	117	26466	5S_rRNA
1	20338120	118	57881	5S_rRNA
1	20341017	118	61675	5S_rRNA
1	20345549	118	53105	5S_rRNA
1	20348466	118	51199	5S_rRNA
1	20353011	118	58983	5S_rRNA
1	20355919	118	50099	5S_rRNA
1	20360461	118	53289	5S_rRNA
1	20363361	118	50167	5S_rRNA
1	20367953	118	54394	5S_rRNA
1	20391971	6130	2585	CCDC190
1	20603066	7804	5185	RGS4
1	20672995	178395	5186	RGS5
1	20851627	37478	1152	NUF2
1	21828707	117	26478	U5
1	22042790	332027	19108	PBX1
1	22073489	70	62764	mml-mir-7177
1	22125448	106	39738	U6
1	22188459	285	41470	Metazoa_SRP
1	22341121	101	54439	Y_RNA
1	22464766	102	35555	U6
1	22681177	151196	6300	LMX1A
1	22867684	109726	2892	RXRG
1	23020662	19612	15518	LRRC52
1	23114051	25439	15948	MGST3
1	23146234	40640	15946	ALDH9A1
1	23146599	102	28053	Y_RNA
1	23224616	41025	5585	TMCO1
1	23319854	84302	53859	UCK2
1	23564387	89693	57426	FAM78B
1	23572634	147	55782	Metazoa_SRP
1	24195864	15119	17789	POGK
1	24203965	28551	17790	TADA1
1	24275126	69033	23462	ILDR2
1	24344412	32983	23463	MAEL
1	24361405	118	64212	5S_rRNA
1	24408978	38376	65239	GPA33
1	24452338	39171	51788	STYXL2
1	24592489	184451	8155	POU2F1
1	24792928	88420	8158	CD247
1	24900876	16190	63120	CREG1
1	24988121	79060	23372	RCSD1
1	25080245	63719	9184	MPZL1
1	25163007	98007	10380	ADCY10
1	25221424	146	55789	Metazoa_SRP
1	25263632	19435	10387	MPC2
1	25283757	140931	10389	DCAF6
1	25348918	111	33715	mml-mir-1255b
1	25433592	51555	10395	GPR161
1	25524144	23182	21166	TIPRL
1	25571331	16678	5283	SFT2D2
1	25608605	102	57319	U6
1	25626500	29107	60729	TBX19
1	25709114	97	59524	mml-mir-557
1	25711051	115	58464	Metazoa_SRP
1	25889177	4673	60218	XCL1
1	26045838	35838	2932	DPT
1	26459697	26247	21078	ATP1B1
1	26485757	207574	21079	NME7
1	26693392	20303	21080	BLZF1
1	26719904	34447	65	CCDC181
1	26793087	18119	13039	SLC19A2
1	26834834	76480	42510	F5
1	26915121	40920	13044	SELP
1	27014904	22048	16579	SELL
1	27048507	11528	16580	SELE
1	27122519	2470	16581	METTL18
1	27125144	60505	16582	C1H1orf112
1	27182795	42982	16583	SCYL3
1	27190383	294	46410	Metazoa_SRP
1	27252307	147376	10081	KIFAP3
1	27289638	306	44973	Metazoa_SRP
1	27465600	20100	59773	METTL11B
1	27843707	21139	14674	GORAB
1	27973789	70976	50865	PRRX1
1	28243944	138032	13380	MROH9
1	28406246	24741	7952	FMO3
1	28506542	21114	19727	FMO2
1	28585352	120	25902	Y_RNA
1	28589617	28386	5069	FMO1
1	28651208	28401	14230	FMO4
1	28703693	146	59249	Metazoa_SRP
1	28748859	106	51982	U6
1	28825170	294	40291	Metazoa_SRP
1	28842750	80330	13639	PRRC2C
1	28851163	103	35725	U6
1	28949032	13539	56198	MYOCOS
1	28959063	16447	13649	MYOC
1	29012884	40988	23203	VAMP4
1	29090457	33674	7266	EEF1AKNMT
1	29151567	564511	7273	DNM3
1	29439872	109	26913	mml-mir-214
1	29445606	109	27103	mml-mir-199a-1
1	29663987	106	53450	U6
1	29718499	48147	7278	C1H1orf105
1	29739161	97051	7279	PIGC
1	29836949	81548	7280	SUCO
1	29963715	7163	65134	FASLG
1	30346290	9588	59499	TNFSF18
1	30491751	20221	61368	TNFSF4
1	30767148	11666	8776	PRDX6
1	30793188	96814	8779	SLC9C2
1	30907366	49005	10683	ANKRD45
1	30930588	1507	52807	TEX50
1	31012906	67975	16792	KLHL20
1	31095882	26428	8572	CENPL
1	31099597	147	49771	Metazoa_SRP
1	31104812	132	36651	Y_RNA
1	31122751	34176	22798	DARS2
1	31139309	116	56971	Metazoa_SRP
1	31163450	76	24846	SNORD81
1	31164661	82	24242	SNORD79
1	31166151	81	50963	SNORD24
1	31168415	16678	22801	ZBTB37
1	31202710	16131	629	SERPINC1
1	31238498	86106	630	RC3H1
1	31271168	118	23884	5S_rRNA
1	31396741	60	37265	U7
1	31462253	793862	1565	RABGAP1L
1	32257366	105	35170	U6
1	32260928	12179	1571	CACYBP
1	32275581	98	24417	U6
1	32276025	10532	51176	MRPS14
