## Ideogram.js gene cache for Canis lupus familiaris
## Derived from https://ftp.ensembl.org/pub/release-102/gtf/canis_lupus_familiaris/Canis_lupus_familiaris.CanFam3.1.102.chr.gtf.gz
## prefix: ENSCAFG
# chr	start	length	slim_id	symbol
20	21612927	257651	6496	MITF
7	41295989	7747	16769	NES
20	57756197	2743	19653	KISS1R
13	29350688	247352	1128	TG
27	6852723	56747	9103	VDR
16	27445601	1920	6161	ADRB3
10	292597	7501	80	PMEL
22	30568572	7318	5071	CLN5
7	44663182	163676	17629	LOXHD1
24	31665771	21457	25116	JPH2
5	32560598	13511	16714	TP53
12	1574251	2878	777	AGER
20	40519378	33557	12403	COL7A1
31	26486274	176541	8859	SOD1
4	68663364	12994	18619	PTGER4
1	42081969	286575	430	ESR1
31	39301748	146314	11911	COL6A1
31	769487	18139	7781	POU1F1
11	20972690	8844	880	IL4
12	12208231	16734	1938	VEGFA
6	76887399	23732	20431	RPE65
13	47108504	81525	2065	KIT
27	22257941	35428	11428	KRAS
19	17750780	5614	4008	IL2
18	5982770	59861	3465	EGFR
13	46730703	42575	2057	PDGFRA
4	58926351	35932	18214	PDGFRB
10	25798938	18808	1356	PDGFB
10	28743795	7978	1711	HMOX1
26	7898015	16219	8363	P2RX4
25	7734453	63362	6383	BRCA2
10	22819221	29063	953	CYB5R3
12	5745852	146429	29853	CDKN1A
16	8222907	94999	3907	BRAF
18	49905161	3021	11349	GSTP1
1	14028652	205577	70	PHLPP1
20	5644089	71817	4785	IFT122
20	33714224	44575	8112	CCDC66
2	21728964	20633	4696	SUV39H2
2	32182853	37219	5392	PITRM1
37	15521622	84202	13485	KLF7
4	30515890	1040262	15883	NRG3
X	40698768	16722	14821	RGN
13	47442764	42278	2079	KDR
16	8544804	17542	3959	RAB19
1	107680599	9108	3961	SPHK2
21	24992848	3211	5630	P2RY2
32	32671281	469755	11769	ANK2
35	20673839	9985	10247	PRL
37	19037217	1097209	23258	ERBB4
38	11063817	686627	10731	USH2A
5	32194313	7544	16066	DVL2
9	20293170	14492	14854	CNTNAP1
X	26290910	2042666	23562	DMD
9	49248621	5497	19695	LHX3
24	33183090	6158	9819	CTSA
28	36913023	26463	13255	MKI67
25	32463452	3772	9014	NEFL
16	27031588	46673	5970	FGFR1
X	238928	37630	10945	PPP2R3B
X	324244	12977	10931	GTPBP6
X	414039	10070	10966	SHOX
X	780711	22125	11034	CRLF2
X	832046	21830	11041	CSF2RA
